1步杀421,1Rb1kc3/4a4/4bc3/1N2C4/9/9/9/9/9/3K5 w
2步杀1059,1C2ka3/2c1a4/1N2b4/9/9/9/9/4BR3/4p1r2/5K3 w
2步杀1060,3ak2C1/4a1c2/4b2N1/9/9/9/9/3RB4/2r1p4/3K5 w
2步杀1061,2R6/4k2C1/3N5/9/9/9/5c3/4p4/3p1r3/4K4 w
2步杀1062,6R2/1C2k4/5N3/9/9/3c5/3r5/3p5/4p4/3K5 w
2步杀1063,9/1C4R2/3ck4/3N5/9/9/3r5/3p5/4p4/3K5 w
2步杀1064,1c2k1b2/9/9/3R1N3/3C5/9/7r1/5p3/4p4/5K3 w
2步杀1065,3akc3/5R3/9/4pN3/8C/9/1r7/9/4p4/3K5 w
2步杀1066,3cka3/3R5/9/3Np4/C8/9/7r1/9/4p4/5K3 w
2步杀1067,3k5/6R1C/3c5/6N2/6b2/9/9/9/2r1p1p2/5K3 w
2步杀1068,2b6/1CN1ak2c/4ba3/9/9/5R3/9/3p5/r1p1p4/3K5 w
2步杀1069,3k4r/4a4/3a4b/6N2/9/4C1B2/3R5/7cB/5K3/8c w
2步杀1070,3a1kbR1/4arN2/6c2/9/9/9/9/4B2C1/4A4/2BAK2c1 w
2步杀1071,9/C3k4/3N5/p4R3/7c1/9/9/4p4/5p3/rc2K4 w
2步杀1072,9/1C2a2R1/3ack3/6N2/9/9/8r/3p5/4pc3/3K1p3 w
2步杀1073,3akabC1/9/4bR3/6N2/9/2B6/9/4B4/1n1KA4/2r2A3 w
2步杀1074,4k1N2/7R1/2n6/9/9/9/9/6r2/4p4/3K3C1 w
2步杀1075,4R1N2/5k3/9/9/9/9/9/5n2B/1r2p4/3K2BC1 w
2步杀1076,2bak4/3Ra4/3N5/1C7/9/9/9/9/3p1r1n1/4K4 w
2步杀1077,3k1ab2/4a4/4b4/4C4/3N5/3R5/9/2n6/3p1r3/4K4 w
2步杀1078,6b2/8R/3k4b/2N1n4/9/4C4/9/3A5/1r1p5/4KA3 w
2步杀1079,2b1ka3/4a4/4b2C1/3R3N1/9/7n1/9/9/3rA4/1p2K1p2 w
2步杀1080,9/3r5/4k4/9/1R7/7N1/5C3/3n5/9/1c1K5 w
2步杀1081,3ak2C1/4a4/6N2/9/9/3R5/9/6n2/5r3/4K3c w
2步杀1082,3a1k3/3Na4/6R2/3r5/9/9/4c2n1/1C2B4/4A4/2BAK4 w
2步杀1083,3a1ab1C/1R7/5k3/9/9/2N3B2/7r1/4n4/4A4/c1BAK4 w
2步杀1084,2bak1b2/3Ra4/9/3N5/9/9/7rc/3AB4/4A1n2/3C1KB2 w
2步杀1085,4kab2/4a4/2N1b4/9/9/1R7/5r3/2c1BA3/6n2/2BA1KC2 w
2步杀1086,3c1k3/4a4/4Na3/1C1R5/9/9/7r1/6n2/3p5/4K4 w
2步杀1087,4kab2/4a4/2N1b4/9/9/1R7/9/2c1B4/4r1n2/2Bp1KC2 w
2步杀1088,3akc3/5R3/9/1C2pN3/9/9/n8/9/4p2r1/3K5 w
2步杀1089,3akc3/5R3/9/4pN3/8C/9/4n4/9/4p2r1/3K5 w
2步杀1090,2b1ka3/4a4/4b2C1/3R3N1/9/9/3r5/6n2/3pAp3/4K3c w
2步杀1091,2bk5/2N6/2nab1c2/7C1/2p6/9/9/4B4/4Ap3/2BRKA2r w
2步杀1092,2b1Ra3/C4k3/3a1c3/1N2p4/2b6/4n4/9/4B4/3pAr3/3AK1B2 w
2步杀1093,1CNR2b2/3ck2n1/3a1a3/9/9/2B6/9/9/1c2A1p1r/3A1KB2 w
2步杀1094,3ak2C1/4a1n2/4b2N1/9/9/3R5/9/5n3/4r4/3K5 w
2步杀1095,2b1k3C/7R1/3aba3/7N1/9/9/3n5/4p4/3K1n3/5Ar2 w
2步杀1096,9/4ak3/b2aNn3/9/9/9/6R2/1C1nB4/4r4/3p1KB2 w
2步杀1097,2b2k1N1/8R/br5n1/9/9/9/9/9/3p1pn1C/4KA3 w
2步杀1098,C2a1a2R/4k4/4b4/9/1N4b2/9/5n3/5An2/3KA2rc/9 w
2步杀1099,2b1k4/4aRN2/4ba3/C8/6r2/9/9/4n4/2n1p2c1/3K5 w
2步杀1100,3k1a3/c8/3a4b/2N5p/9/6B2/3n5/B2A1n2R/2p2r3/C3KA3 w
2步杀1101,4kab2/3Ra4/3Nb4/8C/9/9/9/9/4r3r/5K3 w
2步杀1102,3k2b1R/4a4/3a5/N8/6b2/9/9/4C4/1r5r1/2BAK4 w
2步杀1103,2b3bR1/4k4/9/6N2/4C4/9/9/9/2r1p1r2/3K5 w
2步杀1104,2bak3C/4ar3/4b1N2/9/9/6R2/9/9/3p1r3/4K4 w
2步杀1105,2bakar2/5RN2/4b4/9/9/7C1/9/9/3p2r2/4K4 w
2步杀1106,3a1kb2/3Ra4/2N1br3/9/9/1C7/9/9/3p1r3/4K4 w
2步杀1107,3akr3/4a2R1/b1N1b4/9/9/1C7/9/9/3p1r3/4K4 w
2步杀1108,3N5/3ka4/4R4/9/3C5/9/9/2rA1p1r1/3p2p2/5K3 w
2步杀1109,2bak4/4aR3/3cbN3/4C4/9/9/9/9/2r2r3/4K4 w
2步杀1110,3ak4/1r1c5/5aN2/1rp6/9/9/9/4C2R1/9/3AK4 w
2步杀1111,3aka3/3n5/4b1N2/5R3/2b6/7C1/9/9/3r2r2/4K4 w
2步杀1112,4k4/1N6R/3a5/9/6b2/C8/1r7/5An2/4AK3/6r2 w
2步杀1113,4kab2/4aR3/4bN3/4C4/9/9/2r1r4/4p1n2/9/4K4 w
2步杀1114,1rbak4/9/8n/3N1R3/5C3/9/5p1r1/9/4p4/5K3 w
2步杀1115,3a5/1N1k5/4b4/1r5r1/5R3/6B2/9/4C1n1B/9/4K3c w
2步杀1116,4kab2/1N2a4/1cn1b4/9/9/3R5/9/4C1r2/2r6/4K4 w
2步杀1117,3N1ab2/C7R/3kca2b/2n6/9/9/9/4B4/r2rA4/4KAB2 w
2步杀1118,1r4b2/4k4/6R1c/9/c1b4N1/3p5/4nC3/3K1p1r1/4p4/9 w
2步杀1119,2b6/Rn1ka4/3cb4/9/3N5/9/9/4BA3/1r1CArn2/4K1B2 w
2步杀1120,5k2C/2n3RN1/1r1n5/9/4c1b2/9/7r1/3pc4/4p4/3K5 w
2步杀1169,4kab2/4a4/1c2b2c1/3R3N1/1n7/3CC4/5p3/4B4/4A4/2BAK4 w
2步杀1170,C1N6/3ka1r2/5a3/9/1Cp6/1R7/9/3p5/4p4/3K5 w
2步杀1171,4kab2/4a3c/4b4/3N5/9/9/9/2RC5/4r1p2/5KC2 w
2步杀1172,2ba3R1/4ak3/1C2b1N2/8n/9/6p2/4Cp3/4p4/3p1r3/2p1K4 w
2步杀1173,3R2c2/5k3/1N2b4/4C4/2b2C3/9/9/6n2/7r1/4K3c w
2步杀1174,c1b1ka3/1N1c5/3a2n2/9/9/9/5R2C/4C4/4p4/2rA1K3 w
2步杀1175,2bk1a3/1R7/3a5/7N1/9/9/C8/5A2C/1c1n1p1r1/3AK3c w
2步杀1176,3k5/3N5/3a1a3/8R/1n1C2b2/6B2/9/8B/1r3n2c/C3KAp2 w
2步杀1177,3akab2/c3n4/1r7/4R2N1/9/9/9/4C4/2p1A1pn1/1CBAK4 w
2步杀1178,2b2k3/9/4bc3/r5C1N/3nC4/2B6/4c4/4B1n2/3pAp3/1R2KA3 w
2步杀1179,4ka3/4a4/4b2C1/6CN1/9/9/3R5/2r1p4/1p2pp3/3K1cr2 w
2步杀1180,2b1ka3/4a4/2N1b4/4R1C1r/9/9/9/4C1n2/3p4r/4K4 w
2步杀1181,3nkab2/3car3/9/9/2c3b2/9/4R3C/2N1C4/3p5/2rAKA3 w
2步杀1215,1R3ab2/3Na3C/4bkn2/6N2/9/9/9/2p1p4/1p1p1p3/4K4 w
2步杀1216,2bara3/1R7/5k3/3NC4/2b6/9/9/4N4/3p1p3/2pAKAp2 w
2步杀1217,3NR1b2/5k3/4ba3/4N4/9/9/9/4C4/cc1r1p3/3AK4 w
2步杀1218,1N1a1a3/9/1N2k3b/4p4/9/C8/9/3p2n2/3rAK3/2R6 w
2步杀1219,9/3ka1N1C/1R2ba3/9/2bN5/9/9/4B4/c1nrA4/4KAB2 w
2步杀1220,3akab2/3c3N1/3Nb4/9/5R3/9/9/3np4/3r1p3/2CAKAB2 w
2步杀1221,2b2k3/3R5/1c2bN3/9/9/3p1N3/9/2CABK3/2nrA4/1c4B2 w
2步杀1222,3c5/3k5/8C/4cN3/9/2rN3n1/9/9/3p1p3/4K3R w
2步杀1223,1C2R1b2/6N2/1n1k5/2N3p2/2n6/9/9/3p5/4pr3/3K5 w
2步杀1224,3akab2/3n3N1/3Nb4/9/5R3/9/9/3np4/3r1c3/2CAKAB2 w
2步杀1225,2bk5/9/9/6R2/1Nb2N3/1n3n3/6c2/3C5/4p1r2/3p1K3 w
2步杀1226,3c1R3/9/bNnk1NnrC/9/9/9/9/3A1A3/3p1p3/2B1K1B2 w
2步杀1227,3RnkN2/9/8b/1n4r2/4N4/5C3/9/2c6/4p1p2/2c2K3 w
2步杀1228,5kb2/R8/3NnN2c/9/9/9/3C5/9/4pnpr1/4cK3 w
2步杀1229,2b1kNc1C/3R5/b2N1n3/1r6c/7n1/9/9/5p3/4p4/5K3 w
2步杀1230,9/4k4/3a5/c2Rpcpnn/3C5/9/2r3NN1/3p5/4p4/3K5 w
2步杀1231,4R1b2/3k5/2N2a2b/9/3c5/3N5/9/4C4/1r3pr2/3AKAB2 w
2步杀1232,rCRak1b2/4a4/9/1N7/9/6B2/9/6n1B/3N1pc2/3AKA1r1 w
2步杀1233,5N3/1r3k3/R1N6/9/9/9/9/3p5/4p2p1/2CK1nrc1 w
2步杀1234,c5b2/4k4/2NN5/2p1n1p2/2b6/3R5/9/9/3p1p1r1/2p1KCr2 w
2步杀1235,2N2R3/3k4C/n2N5/7rr/9/5c3/9/3pp4/4c4/3K5 w
2步杀1236,3R2Nc1/9/bCrNk4/6c1r/9/9/1n7/9/6p2/3p1K3 w
2步杀1237,1cb2k3/4R4/b2N1n3/2N6/6p2/9/5c1r1/3p1C3/1r1p5/4K4 w
2步杀1238,r1N1k3C/4a4/4n1N2/9/3R5/9/6n2/2pp5/4p4/r1cK5 w
2步杀1239,1cN2aR2/1C3k3/9/1N4pr1/n5b2/9/9/9/2p1p4/3Knr1c1 w
2步杀1248,1r1a5/2NR5/2n1kN2b/2p6/2c2r3/2nC5/4cC3/9/4p1p2/5K3 w
2步杀1329,4kaR2/4a4/4NR3/9/9/2C6/2c6/5p3/4p4/3p1K3 w
2步杀1330,4kab2/4aR3/4bN1r1/1CR6/9/9/9/9/3p1p3/4K4 w
2步杀1331,3a1k3/7R1/3c1N3/9/9/9/8C/9/r2pn1p2/4K1c1R w
2步杀1332,3NkaRc1/4a4/9/9/9/9/r8/1R4n2/6r2/2C1KA3 w
2步杀1333,3a2R1C/2R1ak3/8N/8p/2b6/7n1/9/8B/3rAr3/4KAB1c w
2步杀1334,1R4b2/1Cr1a4/3a1k2b/1r7/9/2B5N/9/B4A3/5p3/cn1AK1R2 w
2步杀1335,c1b1RN3/3k4C/1R1n5/1n7/2b6/2r6/9/5p3/4p4/2rc1K3 w
2步杀1339,2b6/3k5/2NabR3/9/4C3n/1nC1c4/2c6/3p5/4pp3/3K3R1 w
2步杀1340,4R1bn1/3kn1N1C/b8/9/9/4cC3/9/4pp3/6p2/3rcK1R1 w
2步杀1341,2r2k3/6R1C/b4N1rb/9/5n3/5C3/6n2/5p3/4p4/5K1R1 w
2步杀1342,2c1RR3/3k1N3/5n1nC/2p3p1r/2b3b2/5r3/9/3c1p3/4p4/4CK3 w
2步杀1343,R2n5/2NR5/b3k4/p1p6/rn4b2/9/4Cr3/2Cc5/2p1c4/3K1p3 w
2步杀1350,5a2R/5nC2/3k1a3/6NN1/9/9/9/9/1c2p1p2/3p1K2R w
2步杀1351,5k3/9/2c2N2b/3N1RrR1/2b1n4/9/9/6cC1/2r1p4/3K5 w
3步杀2172,1C3a3/3k5/1NR6/9/9/9/9/9/3pp1p2/5K3 w
3步杀2173,3k1a2R/9/3ab3b/4C4/3N5/9/9/5p3/4p4/3p1K3 w
3步杀2174,2ba1kb2/4a4/9/9/8N/6R2/9/4B3C/3pA4/cpB1KA3 w
3步杀2175,3k4C/9/b2a4b/2N6/9/4R4/9/9/c3p1p2/3p1K3 w
3步杀2176,c1ba2b2/4k1N2/3a1R3/9/9/9/9/4C4/2p1p4/1p1K5 w
3步杀2177,4R4/3N1k3/3a5/9/9/9/9/5n3/4p4/1pCK5 w
3步杀2178,5a3/9/3kb4/2N6/9/6C2/7R1/1n1p5/4p4/5K3 w
3步杀2179,9/5k3/1N2R4/9/9/C1n6/9/9/3p1p1c1/4K1p2 w
3步杀2180,9/9/2ck2C2/9/3NR4/9/9/3p1n3/4p4/3K1p3 w
3步杀2181,3R5/9/4k1N2/9/3np4/9/9/3np4/9/5KCp1 w
3步杀2182,9/9/b2knR3/4N4/6pn1/4C4/3c5/5p3/4p4/5K3 w
3步杀2183,3nk4/3c5/9/4N4/2C6/6B2/5R3/3A1n2B/3p1p3/4K3c w
3步杀2184,5k1C1/9/9/2N6/9/9/4R4/9/3p1r3/4K4 w
3步杀2185,3a1k3/4a4/9/9/7N1/7r1/9/5C3/5p3/3RK4 w
3步杀2186,5kb2/4a1R2/4brN2/4C4/9/9/9/9/4p4/3K5 w
3步杀2187,3a1kb2/4a1R2/4brN2/4C4/9/9/9/9/4p4/3K5 w
3步杀2188,2bak2C1/4a4/4b2NR/9/9/9/9/4B4/2p1r4/3K2B2 w
3步杀2189,9/5RC2/4k4/9/4N4/9/9/3p5/2r1p4/3K5 w
3步杀2190,5R3/9/4k4/5CN2/2b6/9/9/5p3/4p2r1/5K3 w
3步杀2191,1C1a5/5R3/3ak4/4N4/9/9/7r1/5p3/4p4/5K3 w
3步杀2192,4k4/3R4C/3N4b/9/6b2/9/9/9/2r1p1p2/5K3 w
3步杀2193,2ba2b1C/5R3/3k5/6N2/9/9/9/9/1r2p1p2/5K3 w
3步杀2194,2bR1a3/4k4/3Nb4/9/4p4/1C7/9/9/4p1r2/5K3 w
3步杀2195,4kab2/2NR4r/4b4/9/9/9/9/3C1p3/4p4/5K3 w
3步杀2196,2b1k1b2/4a4/3aN4/4C4/9/7R1/9/3p5/2r1p4/3K5 w
3步杀2197,5a3/3k3C1/3ab4/1R5N1/2b6/9/9/5p3/2r1p4/5K3 w
3步杀2198,3ak1b2/5RN2/3ab4/9/9/5C3/3r5/3pp4/4p4/3K5 w
3步杀2199,2ba5/5k3/4bN3/9/3R5/9/9/4C4/4p2r1/5K2c w
3步杀2200,3ak4/4a4/4b4/1r2C4/6N2/9/9/4BR3/2p6/c2K5 w
3步杀2201,3ak4/4a4/4b4/2r1C4/6N2/9/9/5R3/1p7/c2K2B2 w
3步杀2202,2ba1kb2/4a4/8R/6N2/9/9/9/B7C/3p5/crB1K4 w
3步杀2203,2b1kab2/4a4/2N1c4/3R5/9/r1C6/9/4B4/2p1A4/3K1AB2 w
3步杀2204,3k5/2Nc5/3R5/9/3C5/9/9/9/4p1pr1/5K3 w
3步杀2205,3c5/7C1/3k1N3/9/6b2/9/r8/9/3p1p3/4K1R2 w
3步杀2206,4ka3/3R5/9/2N1C4/9/2c6/1r7/3p5/4p4/3K5 w
3步杀2207,9/4k4/C2cb4/3N5/4R4/9/9/9/3p1p2r/4K4 w
3步杀2208,3aka3/7NC/7c1/3R5/9/9/9/3p5/1r2p4/3K5 w
3步杀2209,2ba3R1/C4k3/3abc3/1N7/9/9/9/3p5/4pr3/3K5 w
3步杀2210,2bakcb2/3Ra4/6N2/6C2/9/9/9/9/3p1p2r/4K4 w
3步杀2211,3akab2/c8/4b4/2N2R3/1C7/9/9/9/r3p1p2/5K3 w
3步杀2212,2baka3/5R3/c3bN3/7C1/9/9/9/9/4Ap1r1/3AK1p2 w
3步杀2213,C1R3b2/3k5/3a5/9/2N6/9/9/9/2p1p1pr1/2c2K3 w
3步杀2214,2ba5/2N2k2c/4ba3/1C7/9/5R3/9/3p5/r1p1p4/3K5 w
3步杀2215,4k4/4a4/4baR2/5N3/3C4p/2Br5/8c/3p5/5p3/3AK4 w
3步杀2216,2ba1ab2/5R3/3k5/4CN3/9/9/3p1p3/4B4/3rAp3/c1BAK4 w
3步杀2217,3R1a3/5k3/5a3/3N3C1/9/9/9/2rppcp2/9/3K1p3 w
3步杀2218,5k3/3R4C/4bN3/5c3/2b6/9/9/4c4/4A1p1r/3A1K3 w
3步杀2219,C4Rb2/3Nk4/3c5/3c5/9/9/9/4B4/3pA1r2/4KAB2 w
3步杀2220,2b2a3/4k4/c2N1a3/3R5/9/9/9/3C5/4p1p1r/5K2c w
3步杀2221,2N2kb2/4a3R/4ba3/9/4C4/9/9/3A1n3/5r3/4KA3 w
3步杀2222,9/r3k4/3Rb4/3N5/2b6/1C7/9/3n1p3/9/5K3 w
3步杀2223,9/1R2ak3/6N2/9/9/5rC2/9/4B4/3p3n1/2B1K4 w
3步杀2224,9/3ka2R1/2N6/9/9/2Cr5/9/4B4/1n3p3/4K1B2 w
3步杀2225,4k1b2/4aR3/4ba3/4C2N1/9/9/9/2r1p4/3K5/6n2 w
3步杀2226,4k4/4aR3/5a3/4N4/4C4/9/2n6/2r6/3KAp3/5A3 w
3步杀2227,6b2/8R/3k4b/2N1n4/3C5/9/9/3A5/1r1p5/4KA3 w
3步杀2228,1N2kan1C/9/9/7R1/9/9/9/1r1p5/4p4/3K5 w
3步杀2229,4k3C/4a4/6N2/1R7/9/9/9/4p1n2/r2p5/4K4 w
3步杀2230,5k3/1C1Na4/8R/9/n8/9/9/3p5/r3p4/3K5 w
3步杀2231,9/3k5/b1C2R3/2N6/9/7n1/9/5p1r1/4p4/5K3 w
3步杀2232,9/3k5/b1C2R3/2N6/9/7n1/9/5p3/4p2r1/5K3 w
3步杀2233,2ba1kbNC/4a4/7R1/9/4n4/9/9/3p5/2r1p4/3K5 w
3步杀2234,4kab2/1R2a4/9/4N4/9/9/9/4C4/1rp1pn3/2BK5 w
3步杀2235,3k1a3/4a4/9/4R3p/p8/1N7/6C2/3n5/3r5/2BA1KB2 w
3步杀2236,3a1kb2/2R3N2/2n1ba3/p6C1/9/9/9/4BK3/r3p4/2B6 w
3步杀2237,3a1k3/4a4/9/5N3/9/1C7/6R2/n3B4/4r4/c2K2B2 w
3步杀2238,3a3c1/3k5/4b4/N3C1R2/2b6/2B6/9/2nrB4/9/4K4 w
3步杀2239,4k4/4aR3/5a3/4N4/4C4/9/9/2n1B4/3rA4/c3KAB2 w
3步杀2240,2b1k4/3Ra4/3a5/4N4/4C4/9/9/4B4/4Ar1n1/2BAK3c w
3步杀2241,1Rbk1ab2/4a4/9/3N5/9/9/9/C3B1n2/3rA4/4KABc1 w
3步杀2242,3a1kbNC/4a4/4b2R1/9/9/9/9/3nB4/3r5/c1BAKA3 w
3步杀2243,6b2/5k2n/5cR2/6N2/9/9/9/4C4/5p1r1/4K4 w
3步杀2244,4k4/4a4/4b4/3rC2N1/9/1R7/9/6n2/5p3/4K3c w
3步杀2245,3k1N3/8R/5an2/9/9/9/9/8C/3r1p3/4KABc1 w
3步杀2246,4R4/3ka4/2N6/9/9/3C3r1/9/4B3n/4p4/2B2K2c w
3步杀2247,2bak2r1/4a4/4b4/4CR3/6N2/9/9/3n5/4p4/c4K3 w
3步杀2248,5a3/3k3C1/1R2ba3/7N1/2b6/9/9/5n3/2r1p4/c4K3 w
3步杀2249,5a3/4knR2/4ba3/9/4N4/4C4/3c5/9/2r1p4/3K2B2 w
3步杀2250,C4ab2/3ka4/2R1b4/2Nc5/9/9/9/6n2/2rp5/4K4 w
3步杀2251,4kab2/3R4C/3N4b/9/9/9/9/3n1p3/4A4/cr1A1K3 w
3步杀2252,2bak4/4a4/4b4/3rC4/6N2/5R3/9/2n6/3pA4/c3KA3 w
3步杀2253,2baka3/1N7/5R3/9/2b6/9/9/4C4/1nrpA4/c3KA3 w
3步杀2254,3ak2r1/4a4/4b3n/4CR1N1/2b6/9/1c7/9/4A1p2/3A1K3 w
3步杀2255,2b2ab2/1R2a1NC1/3k3c1/9/9/9/4p4/3A1K3/8r/2Bn2B2 w
3步杀2256,2bk1a3/2N1a4/2n1b3c/5R1C1/9/9/9/4BA3/5p1r1/4K1B2 w
3步杀2257,r3kab2/1N2a4/4b4/3RC4/9/9/9/B8/3pA4/4KAn1c w
3步杀2258,4k4/7NC/7c1/3R5/9/1n7/9/3p5/1r2p4/3K5 w
3步杀2259,5N3/5k3/8C/4R4/9/1n7/9/3p5/1r2p4/3K3c1 w
3步杀2260,9/1cCNak3/9/4R4/9/6n2/r8/3p5/4p4/3K5 w
3步杀2261,9/3ka2R1/2N6/9/9/3Cr4/9/4B4/1n1p1p3/c3K1B2 w
3步杀2262,2b2R3/9/2N1k4/4p4/2b6/9/2C3n2/9/4Ap3/3K1Ar1c w
3步杀2263,2bk1a3/2N1a4/2n1bc3/5R1C1/9/9/9/4p4/3p4r/4K4 w
3步杀2264,2bak4/4a4/4b4/4C4/R1N6/9/9/4p1n2/3p1p1r1/4K3c w
3步杀2265,C6c1/3Ra2N1/3ak4/9/9/9/9/2n6/3rA4/1c2KA3 w
3步杀2266,R2ckab2/4a4/2N6/1C7/9/9/9/4B2n1/5r3/3K1AB1c w
3步杀2267,3ak1b2/4aR1N1/9/1C7/2c6/9/9/2r6/n3A4/c1BAK1B2 w
3步杀2268,1Rb1ka3/4ac3/2r1c4/1N2C4/9/9/9/2n1B4/3pAp3/2B1K4 w
3步杀2269,2R6/1N1kan3/3a5/1r6C/2b6/9/9/6n2/3p5/4K4 w
3步杀2270,5k3/1CN6/2R2a3/4p4/6n2/9/4r4/4B4/4A1n2/2BA1K3 w
3步杀2271,6R2/3ka4/4N4/9/9/9/1r1pn4/4p3B/4C2n1/3K1p3 w
3步杀2272,C2a2b2/4k4/b1Na5/1R7/9/9/3n5/4B2n1/4A1r2/2BAK3c w
3步杀2273,3a4R/2Nnk4/4b3n/9/9/9/9/1rp6/4ACc2/3K1A3 w
3步杀2274,C4ab2/3ka4/2R1b4/n1Nc5/9/9/9/6n2/3pA1r2/4K4 w
3步杀2275,5ab2/3nk4/2Nab4/9/2p3p2/9/9/2rAB4/3nC4/c3KABR1 w
3步杀2276,3akab2/c3n4/b2r5/2p1R2N1/1C7/9/9/3Ap1p2/4A4/2n2K3 w
3步杀2277,3a2c2/3k5/n2a5/9/9/3NR1B2/9/5C2B/4Ar3/4KAn1c w
3步杀2278,2c1k4/C6R1/4Nc3/9/8n/9/9/9/1nr1p4/3K5 w
3步杀2279,3a5/1N1k1c3/4b4/3n1R3/6r2/9/C8/4B4/4Ap3/4KA1nc w
3步杀2280,4n4/2R6/3k4C/2p2n3/2b4N1/9/5c3/4p4/5p3/2rcK4 w
3步杀2281,3k2r2/5R2c/b8/1n2p4/3N2pn1/4C4/3c5/5p3/4p4/5K3 w
3步杀2282,4R4/5k3/1N7/9/9/9/9/C8/5r1r1/4K4 w
3步杀2283,2CR5/4a4/3N1k3/9/2b6/9/9/3p5/5r1r1/3K5 w
