1步杀325,9/2P6/3k5/9/9/9/9/7c1/3p5/1R2K2n1 w
5步杀4693,6P2/3k5/2P2a3/9/4R4/9/3ppp3/9/9/5K3 w
5步杀4694,2c1kab2/4aP3/4Pn3/9/1R7/9/5p3/3A2p1B/7p1/4KAB2 w
5步杀4695,9/2R1a4/4k4/3P1P3/9/9/7r1/5p3/4p4/5K3 w
5步杀4696,4k4/7P1/b2aPa3/9/9/9/4R4/1r7/3p1p3/1p2K1B2 w
5步杀4697,9/5P3/5k3/3RP4/5P3/9/9/3p5/1r2p4/3K5 w
5步杀5416,3k5/4a4/3aP4/7n1/9/9/9/6R1R/3p1p3/2p1K1p2 w
5步杀5417,4ka1R1/6P2/5a3/9/9/9/9/3p5/1rp1p3R/3K5 w
5步杀5418,4ka2R/6P2/5a3/9/9/9/9/3p5/1rp1p4/3K3R1 w
5步杀5419,2ba5/1R2ak3/4c1P2/9/9/9/9/3A5/3p1r3/3AK2R1 w
5步杀5420,3k5/4a4/3aP4/9/9/9/6R2/6R2/2rp1p3/1c2K4 w
5步杀5421,R4a3/2rc5/5k3/3P5/1R7/9/5c3/4p4/5p3/4K4 w
5步杀5422,3k5/4a4/3aP4/7nR/9/9/9/6R2/3p3r1/4K4 w
5步杀5423,2ba5/1R2ak3/4c1P2/9/9/9/9/2nA5/3p1r3/3AK2R1 w
5步杀5424,3ak4/4aP3/2R6/9/3R5/6B2/9/6n1B/4Aprc1/4KA3 w
5步杀5425,2ba1k3/2R1a4/3cb1P2/5r3/9/9/5n3/9/3p5/2BAKABR1 w
5步杀5426,3k1a3/2R6/2R2aP2/9/9/9/9/4B4/1r5r1/4K4 w
5步杀5427,2bk5/4a4/3aP4/9/6b2/2B6/7RR/B2A5/1r3p3/4KA1r1 w
5步杀5428,2R2a3/3ka4/4P4/9/2b6/7rr/9/1p4R2/5p3/2B1K4 w
5步杀5429,4k4/4a1P2/5a3/9/9/9/7RR/r3p4/1r1p1p3/4K4 w
5步杀5430,2ba5/1R2ak3/4c1P2/9/9/9/9/3A3R1/3r1r3/3AK4 w
5步杀5431,3k5/4a4/3aP3n/9/9/9/6R2/6R2/2rc1pr2/1c2K4 w
5步杀5432,2R3R2/3na1P2/4ka3/9/4P4/5c3/9/9/4p1p2/5K3 w
5步杀5433,8R/3n2P2/R2aka3/9/3nP4/5c3/9/9/4p4/3p1K3 w
5步杀5434,R1b2k3/4a4/9/9/4c4/8P/P8/3A5/3p2R2/2B1K1Brc w
5步杀5435,4k4/4a4/4ba3/5P3/9/7p1/1R6P/4BA1r1/6r2/3RKAB2 w
5步杀5436,2b1k4/2P6/3Rn1P2/9/4r4/9/9/3R5/4r4/3K5 w
6步杀4684,3a1a3/2R6/3cbk3/9/4P4/9/9/9/4K4/9 w
6步杀5985,5k3/4P4/b2cbc3/3R5/9/9/1n7/9/4A4/3AK4 w
6步杀5986,3rka3/2P1a4/9/7R1/9/9/9/B8/9/4K4 w
6步杀5987,1R7/5k3/4b1P2/9/2b1r4/9/9/4B4/4A4/3AK4 w
6步杀5988,2b6/5k3/1r1aba3/5P1R1/9/9/9/9/4A4/2BK1A3 w
6步杀5989,4ka3/3Pa4/7R1/9/9/p8/9/c1n2A3/r3A4/4K4 w
6步杀5990,3k1a3/2P1c4/2R1b4/9/2bP5/9/n8/9/4p4/3K5 w
6步杀5991,2bk1a3/2P1c4/2R1b4/9/3P5/9/9/9/2p1p2r1/3K5 w
6步杀5992,9/1P2k4/3a1a3/4P4/8r/9/2R6/3n5/4p4/5K3 w
6步杀5993,9/1P2k4/b2a1a3/4P4/7r1/9/2R1p4/3n5/9/2BA1K3 w
6步杀5994,9/3P5/4k4/3P1R3/3P5/9/7r1/5p3/4p4/5K3 w
6步杀5995,9/5P3/4k4/9/4PP3/2rR5/9/3p5/4p4/3K5 w
6步杀5996,3a5/2P1ak3/6P2/3PR4/9/9/7r1/5p3/4p4/5K3 w
6步杀6588,4k4/2P1a4/3a5/9/9/9/9/4p4/R2p1p3/1Rp1K1p2 w
6步杀6589,4k4/4a1P2/5a3/9/9/9/9/B3p4/c2p1p2R/2B1K2R1 w
6步杀6590,4k4/4a1P2/5a3/9/9/9/9/3p5/1rp1p3R/3K3R1 w
6步杀6591,2bk1r3/2R1n4/2R1b4/9/3P5/9/9/9/2p1p4/3K5 w
6步杀6592,4k1b2/2P1a4/3a5/9/2b6/RR7/4c4/4B1n2/4Ap2r/2BAK4 w
6步杀6593,2bk1a3/1R2n4/2R1b4/9/3P5/9/9/9/4rn3/3K5 w
6步杀6594,2ba1k3/4cn1R1/4b2R1/9/5P3/9/9/3n5/4r4/5K3 w
6步杀6595,3ak4/4a1P2/9/9/9/9/9/5r3/5r3/4K2RR w
#6步杀6596,4k4/4a1PRR/5a3/9/9/4r4/4r4/3ApA3/9/4K4 w
6步杀6597,2b1k4/4a1P2/5a3/4c4/7R1/9/8R/5A3/1r1r1p3/4K1B2 w
6步杀6598,3r1k3/4c2R1/4b1R2/9/5P3/9/9/4p4/6pr1/5K3 w
6步杀6599,R7R/2P1an3/3ak4/9/4Pn3/3c5/9/9/4p4/3K1p3 w
6步杀6600,R7R/3na1P2/4ka3/9/3nP4/5c3/9/9/4p1p2/5K3 w
6步杀6601,R7R/3na1P2/4ka3/9/3nP4/5c3/9/9/4p4/3p1K3 w
6步杀6602,4ka3/4a1P2/4P4/8R/9/9/3R5/r3p4/1r1p1p3/4K4 w
7步杀4686,3k5/4a4/3aP3n/9/9/9/6R2/9/9/4K4 w
7步杀7035,5k3/9/3aP2R1/9/9/9/4pp3/9/4pp3/3K5 w
7步杀7036,2bk5/4P4/c3b2c1/R8/9/9/8n/9/9/4K4 w
7步杀7038,5k3/3P5/3a1a3/9/9/9/9/4KAR2/3p1r3/9 w
7步杀7039,9/1R1c5/2nk5/2P1p1P2/6b2/9/9/9/3p1p3/4K4 w
7步杀7040,9/1R1c5/2nk5/2P1p1P2/6b2/9/4p4/9/3p1pp2/4K4 w
7步杀7041,9/2R1a4/4k4/5P3/4P4/9/7r1/5p3/4p4/5K3 w
7步杀7042,2ba1k3/4a2P1/6R2/4P4/1r4b2/c8/1p7/B8/4A4/4KAB2 w
7步杀7043,3ark3/6P2/3Pban2/9/6b2/9/9/3R5/4A4/4K4 w
7步杀7440,2b1k4/4a1P2/4ba3/9/4c4/7R1/9/8R/3r1p3/4K4 w
7步杀7441,2b1k4/4a1P2/4ba3/9/4c4/9/9/9/3r1p2R/3AKA1R1 w
7步杀7442,9/4ck3/4Ra3/9/5P3/9/7n1/5R3/1c2A2r1/3A1K3 w
7步杀7443,9/4ck3/5aR2/9/5P3/9/7n1/5R3/1c2A2r1/3A1K3 w
7步杀7444,2b1ka3/3PaR3/3nP4/9/9/3R5/4rr3/4B3B/4A4/4KA3 w
7步杀7445,4k1b2/1RPna2R1/4b4/4cP3/9/9/9/9/1nr4r1/3K5 w
8步杀7037,2P1R4/7r1/3k5/9/9/9/9/9/9/4K4 w
8步杀7709,3a5/4a4/b2k4b/1P7/9/2R6/9/4B2p1/4A1prc/4KA3 w
8步杀7710,3ak4/2P1a1P2/4b4/c8/6b2/8R/2r6/4B4/1p2A4/2B1KA3 w
8步杀7711,2bak4/2P1a1P2/3cb4/7R1/9/2B6/9/2r1B4/3p1p3/3AKA3 w
#9步杀7708,3k5/9/4P4/9/9/5R3/9/9/5K3/4r1c2 w
9步杀8207,2ba5/4ak3/4b4/6P2/9/7R1/9/1r2B4/2p1A4/1cBAK4 w
9步杀8209,2Pc5/r3a1c1R/5k3/6P2/2b3p2/9/9/9/3p1p3/4K4 w
9步杀8210,2Pc5/2r1a1n1R/b4k2b/6P2/9/9/9/9/3p1p3/4K4 w
9步杀8211,3a5/2P1a4/3k3P1/4PR3/9/9/7r1/5p3/4p4/5K3 w
10步杀7707,2r1ka3/3Pa4/b8/9/9/9/7R1/4B4/5p3/4K4 w
10步杀8676,5k3/3Pa4/5aR2/9/9/9/9/8B/4K2p1/5A2r w
11步杀8675,3aka3/3P2r2/9/1R7/9/9/9/4B4/3p5/4K4 w
12步杀9122,5k3/3Pa4/5aR2/9/9/9/9/1r7/9/2B1K4 w
12步杀9321,3ak4/4a2P1/2R6/9/9/9/9/5A3/2R2pr2/3AK4 w
13步杀9411,5k3/4P4/1c2b2c1/7R1/6b2/9/1n7/4B4/4A1p2/2BAK4 w
13步杀9629,2P2R3/4r4/3k5/9/9/9/9/9/5K3/9 w
13步杀9630,2P2R3/4r4/3k5/9/9/9/9/9/9/5K3 w
13步杀9632,3a5/4a4/1P3k1P1/3PR4/9/9/7r1/5p3/4p4/5K3 w
13步杀9633,3a5/1PPnk2P1/2P3RP1/9/9/9/2r6/3p5/4p4/3K5 w
14步杀9414,5a3/9/3ak4/9/4P4/6B1R/9/4B4/3pr2p1/5K3 w
15步杀8008,r3k4/5P3/3PbnP2/9/5R3/9/9/B3Br3/4p4/2RK3c1 w
15步杀8208,5a3/9/3ak4/9/4P1R2/9/9/4B2p1/2n1A2r1/5K3 w
15步杀8677,6R2/3P1k3/3a1a3/9/9/2B6/9/B1r6/5p3/4K4 w
15步杀9123,4k4/3Pa4/5a1R1/9/9/9/9/2r6/2p1A1p2/4K4 w
#15步杀9320,3ak4/4a2P1/2R6/9/9/9/9/5A3/3R1pr2/4K4 w
#15步杀9920,9/9/3ak4/9/4P4/9/6R1P/r2AB4/2r6/3K4R w
15步杀9974,3P5/5k3/9/9/5r3/4R4/9/9/9/4K4 w
15步杀9975,5a3/4k4/5a3/5P3/9/3R5/9/4BA3/4AK3/2B1r4 w
17步杀9413,6R2/3P1k3/3a1a3/9/9/6B2/9/B1r6/5p3/4K4 w
18步杀9121,3k1a3/4a1r2/4P4/1R7/9/9/9/4B4/9/4K4 w
