10步杀7652,9/9/1N3k3/6p2/9/9/9/9/9/4K4 w
1步杀280,4kab2/1N2a4/4N4/9/9/9/9/9/3r1p3/4K4 w
1步杀281,2ba5/4ak1N1/4b4/5N3/9/9/9/9/3r1p3/4K4 w
1步杀282,3ak4/2NNa4/4b4/9/2r6/6B2/9/9/4p4/5KB2 w
1步杀283,3ark1N1/3Nn4/5a3/9/9/9/9/9/9/5K3 w
1步杀284,2b2a3/5k3/6N2/9/6N2/9/9/2n1KA3/3r5/9 w
1步杀285,3akab2/9/2N1b4/3N5/9/9/9/4B1n2/2rp5/4K4 w
1步杀286,4N1b2/4a4/n3ka3/9/9/9/1N7/2n1B4/3KA1pc1/r4A3 w
2步杀599,9/3k5/3a5/7N1/9/9/9/9/9/4K4 w
2步杀765,9/4ak3/5aN2/2N6/9/9/9/9/4K4/9 w
2步杀766,2b2a3/3kaN3/9/N8/9/9/9/9/9/4K4 w
2步杀767,2b2kb2/9/2Na1a3/8N/5n3/9/9/9/3p1p3/1c2K4 w
2步杀768,3k1ab2/1NN1a4/8n/9/9/9/9/4KA3/1c2Ap3/c8 w
2步杀769,3a5/4n4/3a1k3/3n2N2/6N2/9/9/9/9/4K4 w
2步杀770,4knb2/3na4/3ab4/N4N3/9/9/9/4p3B/1p1pAp3/1c2KAB2 w
2步杀771,2ba1k3/4a1NN1/4b4/9/9/9/9/3p5/r3p4/3K5 w
2步杀772,4r1b2/4ak3/5a3/8N/9/5N3/9/4p4/2pp1pp2/4K1c2 w
2步杀773,3a1k3/4a4/9/5N2N/9/1p4B2/9/2n4pB/1r7/4KA3 w
2步杀774,3akab2/1r2n4/1c2b4/1N1N5/9/9/9/9/9/4K4 w
2步杀775,2baka3/1c2nc3/4b4/3Nr2N1/9/9/9/9/9/3K5 w
2步杀776,3akab2/4n4/1c2b2c1/1N5N1/9/9/7r1/9/9/4K4 w
2步杀777,2bnkab2/4a4/9/4nN1N1/9/7r1/9/9/5p3/4K4 w
2步杀778,3aknb2/4a4/1cn6/1Nr6/4N4/9/9/9/9/4K4 w
2步杀779,2bak4/4a2r1/4b4/5N1N1/9/9/9/9/4r4/5K3 w
3步杀1453,2b6/3k5/9/9/9/3N5/9/9/9/4K4 w
3步杀1454,2baka3/2c1n4/b8/9/9/N8/9/5A3/9/4KAB2 w
3步杀1701,4kab2/1N2a4/N3b4/9/9/9/4c1n2/4B4/4A4/2BA1K3 w
3步杀1702,5k3/6N2/3Nb4/9/9/9/1n7/5p3/c3K4/3A5 w
3步杀1703,2b1ka3/1N2a4/4b4/1N7/9/9/9/4B2n1/4p4/2B2K2c w
3步杀1704,3n1k3/4n4/5N3/6N2/9/9/9/9/9/4K4 w
3步杀1705,3a1a3/5k3/2N1b4/9/4N1b2/n8/9/5n3/9/3K5 w
3步杀1706,2bak4/4a2N1/4b4/7N1/9/9/1n7/4B1n2/4A4/2BAK4 w
3步杀1707,4kab2/1N2a4/4b4/3N5/6n2/6B2/1n7/4B4/4Ap3/3AK4 w
3步杀1708,2b2a3/3ka4/9/9/4N4/3N5/9/9/3p1pr2/4K4 w
3步杀1709,2bak4/4a2N1/4b4/5N3/9/9/9/3p5/r3p4/3K5 w
3步杀1710,4rkb1c/4a3N/4ba3/6N2/9/9/9/9/2p1p4/3K1p3 w
4步杀2998,4k4/4N4/9/9/9/9/9/9/4K4/9 w
4步杀3175,3k1ab2/4a4/N3b4/2N6/9/9/9/6n2/3p5/2p1K4 w
4步杀3176,2bk1ab2/4a4/N2N5/9/9/9/9/9/5p3/4KA1r1 w
4步杀3177,2ba1k3/4a4/4b4/5N2N/9/9/9/3p5/r3p4/3K5 w
4步杀3178,2ba1k3/4a4/4bN3/5N3/9/9/9/4p4/1r1p1p3/4K4 w
5步杀4614,5ab2/3ka4/N7n/9/N8/9/9/9/3p1p3/4K4 w
5步杀4615,2ba5/4ak3/4b3N/9/9/5N3/4c4/4B4/1n1pA4/4KAB2 w
5步杀4616,2bak4/4a2N1/n3b4/7N1/9/9/9/2n6/3p1p3/4K4 w
5步杀4617,5a3/8N/5k3/9/6b2/6N2/9/9/2rp1p3/4K4 w
6步杀5835,3k1a3/9/9/9/7N1/9/9/9/9/4K4 w
6步杀5836,5k3/9/5a3/9/3N5/9/9/9/9/4K4 w
6步杀5837,3k5/9/9/p8/9/9/9/1N7/9/4K4 w
6步杀5838,5k3/9/9/8p/9/9/9/7N1/9/4K4 w
6步杀5839,2baka3/4n4/b8/2p3p2/1c5N1/1p7/9/8B/9/3AKAB2 w
6步杀5940,2ba1k3/4a4/n3b3N/6N2/9/9/9/B5n2/5p3/3AK1B2 w
6步杀5941,3k1ab2/4a4/N3b4/2N6/9/9/9/9/5pr2/4K4 w
6步杀5942,2ba1k3/4a4/4b4/5NN2/9/9/9/9/2r2p3/3AK1B2 w
6步杀5943,3a1kb2/4a4/4b4/5NN2/9/9/9/9/2r2p3/3AK1B2 w
6步杀5944,3a1k3/4a4/4b4/5NN2/6b2/9/9/6n2/2r6/4K4 w
7步杀7001,5ab2/3ka4/N3b3n/9/N8/9/9/9/3p1p3/4K4 w
8步杀7650,3k5/9/9/2p6/9/4N4/9/9/9/4K4 w
8步杀7651,5k3/9/9/6p2/9/4N4/9/9/9/4K4 w
9步杀7646,9/4k4/4b4/8N/9/9/9/9/9/4K4 w
9步杀7647,9/4k4/4b4/N8/9/9/9/9/9/4K4 w
9步杀7648,9/9/3kbN3/9/9/9/9/9/9/4K4 w
9步杀7649,9/9/3Nbk3/9/9/9/9/9/9/4K4 w
9步杀7684,3a5/2N2n3/2Na1k3/9/2b6/6B2/9/5A1p1/p4p3/4K3c w
9步杀8186,5N3/4k4/3N5/9/9/p8/p8/p8/3p5/3p1K3 w
