10步杀8032,5k3/4a4/8N/9/5r2n/9/6R2/9/4p4/3K2R2 w
13步杀9423,4kab2/4a4/b8/4N1p2/9/1R7/9/3A5/2p3r2/4KAB1c w
13步杀9566,1N1aka3/9/4b4/9/2b3p2/R4R2p/1n1p4r/4B4/4A1r2/3AK1B2 w
13步杀9714,1NNak4/4a1R2/9/9/3c5/9/3r5/3p5/4p4/3K5 w
13步杀9715,9/4k2n1/1N7/9/5N3/3p1R3/9/4BA3/2nr1p3/4K4 w
13步杀9716,9/9/4kaN2/3c5/2N6/2n6/2r6/3K5/4pnR2/9 w
13步杀9717,2r6/9/5k3/5N1nN/9/9/9/3p5/1r2p4/3K4R w
13步杀9761,3aka1N1/9/4b4/9/2p3b2/p2R4R/r4p1n1/4B4/2r1A4/2B1KA3 w
13步杀9782,5a3/2R1a2rr/b2k1c3/4pc3/3N5/3R5/6N2/3p5/2p1p4/3K5 w
13步杀9812,3a1a3/9/N3k4/9/9/3ppp3/7r1/9/3K5/1R7 w
14步杀9883,4k4/2R4N1/3n5/3N5/9/9/9/5pn2/4p1c2/5K1c1 w
14步杀9884,8n/3kc4/2N2R3/8c/7N1/9/9/5p3/4p3r/5K3 w
14步杀9921,2b2k3/9/2n1na3/6RcN/4r4/5R3/9/2rp5/6c2/3K1p3 w
15步杀10022,5a3/9/2Rak4/4N4/2ccN4/9/9/9/rr7/3K5 w
15步杀10023,n1cR5/6N2/5k3/4pcp2/9/6N2/6r2/4r4/4p4/3K5 w
15步杀10061,6b1R/2Nk5/9/9/9/4R4/9/3p5/r7r/3K5 w
16步杀10090,8r/4a4/3k5/5Rpnn/3N5/4c4/9/9/r2p1p3/4K2c1 w
16步杀10123,9/2RN1k3/3n5/3N5/9/9/9/5pn2/4p1c2/5K1c1 w
16步杀8227,4k4/9/N8/9/9/6B2/5pr2/3AB3R/3p5/5K3 w
16步杀8686,4k4/9/9/4N4/9/2B6/9/4B4/1R1npp3/3K5 w
16步杀9422,3k5/4a4/1R1a5/7N1/2p6/9/9/9/2r6/4K4 w
18步杀10228,8r/4a4/2N2k3/4R1pnn/9/4c4/9/9/r2p1p3/4K2c1 w
18步杀10254,9/5k3/1NRn5/3N5/9/9/9/5pn2/4p1c2/5K1c1 w
18步杀8226,4k4/9/N8/9/9/6B2/5pr2/3AB3R/3p5/4K4 w
1步杀381,3k1ab2/9/4bN3/9/4R4/9/9/9/9/4K4 w
1步杀382,2b2k3/1N7/9/9/2b6/9/8R/9/3p1p3/2p1K1p2 w
1步杀383,4kc3/4N4/9/4R4/9/9/4p4/3p1p3/4p4/3K5 w
1步杀384,3a5/3k1n3/2caRN2b/9/9/9/9/9/9/4K4 w
1步杀385,4k4/3Ra4/2N6/9/9/9/9/9/4p1r2/5K3 w
1步杀386,4ka3/2NRa4/9/9/9/9/9/9/4p1r2/3K5 w
1步杀387,2b2aN2/4a1R2/5k2b/9/9/9/9/9/3p1r3/4K4 w
1步杀388,3r5/9/3kN3R/9/9/9/4p4/3p1p3/4K4/3p1p3 w
1步杀389,4ka3/1N2a4/9/3R5/9/9/9/9/3p1rc2/4K4 w
1步杀390,3akc3/1r2aRN2/9/9/9/9/9/9/3p5/4KA3 w
1步杀391,3k1ab2/R3a4/9/4N4/6b2/9/7r1/4B3B/4Ap3/3AK3c w
1步杀392,7R1/5k3/6N2/9/9/9/9/2nr5/9/4K4 w
1步杀393,3k2b2/6N2/4b4/9/9/4R4/9/9/6r2/2n1K4 w
1步杀394,5Nb2/7R1/3kb4/9/9/9/9/6n2/3r5/4K4 w
1步杀395,9/9/4ka3/5N3/9/6R2/9/2n1B4/3r5/4K4 w
1步杀396,3a3R1/3N1k3/4ba3/9/9/9/9/6n2/5r3/4K4 w
1步杀397,2b2a3/R3a4/1N1kb4/9/9/9/9/6n2/3r5/4K4 w
1步杀398,3a3R1/3Na4/4bk3/9/2b6/9/9/2n6/5r3/4K4 w
1步杀399,3a5/3ka4/1NR6/9/9/9/9/9/4Arn2/3AK4 w
1步杀400,3k1ab2/1NR1a4/4b4/9/9/9/9/4BAn2/4A1r2/5KB2 w
1步杀401,4Ra3/3k1N3/9/9/9/9/9/3p5/5rn2/4K4 w
1步杀402,3a1a3/5k3/4R4/5N3/9/9/9/2n6/3r1p3/4K4 w
1步杀403,3ak1NR1/4a4/9/9/9/9/6n2/9/4p2r1/5K3 w
1步杀404,6b2/2N3R2/4bk3/9/9/9/9/6n2/3r1p3/4K4 w
1步杀405,1R1a2b2/3k5/2N1b4/9/9/9/9/6n2/3r1p3/4K4 w
1步杀406,3aka3/2NR5/9/9/9/9/9/4B2n1/3p1r3/4K4 w
1步杀407,3akab2/9/4b1N2/9/9/5R3/9/2n6/3r1p3/3AKA3 w
1步杀408,1Rbk5/9/9/2N6/9/9/9/6n2/3p1p1r1/4K4 w
1步杀409,4k4/9/9/4N4/4R4/9/9/2p1B3B/1p7/3KnA2r w
1步杀410,3a1kb2/4a1RN1/4b4/5r3/9/9/9/2n6/3p1p3/4K4 w
1步杀411,3k5/1NcnR4/9/9/9/9/9/9/3p3r1/4K4 w
1步杀412,3akab2/9/4n1N2/9/9/9/9/5R3/2nr1p3/3AK1B2 w
1步杀413,1n2n4/4a4/4k4/3R5/3N5/6B2/3p5/8B/r3p4/5K3 w
1步杀414,5a3/7R1/3k1a3/2N6/2bc2b2/9/9/9/1r2r4/3K5 w
1步杀466,4Rc3/1N2a4/4ka3/6pc1/9/9/4N4/4B4/3pAp3/4KA3 w
1步杀467,4kaR2/3N5/2N6/9/9/9/5n3/2n6/4A4/1r1AK4 w
1步杀468,4R4/4a4/2Nak4/9/9/6B2/9/4N4/2nr5/5K1n1 w
1步杀469,2bk1a3/2N1aN3/2R1n4/9/9/9/9/6n2/1r1p5/4K4 w
1步杀470,3k1ab2/1NR1a4/4b4/2N6/9/9/9/1r7/1r1p1p3/4K4 w
1步杀490,4ka1R1/4aR3/2N1b4/9/9/9/3r5/4r4/4A4/1cBAK4 w
1步杀491,3ak2NR/4a4/9/4R4/9/9/9/9/4r1p1r/5K2c w
2步杀1000,2b1RNb2/3k5/3a1r3/9/9/9/9/9/3p1r3/4K4 w
2步杀1001,2brk1b2/3Ra4/3N1a3/9/9/3r5/9/9/5p3/4K4 w
2步杀1002,2b1kab2/3caRN2/9/9/9/9/9/9/3r2r2/4K4 w
2步杀1003,3a1a1r1/1Nc2k3/5r3/9/9/9/9/9/3p1p3/4K1R1c w
2步杀1004,2ba1k3/4anN2/4b1r2/9/9/5R3/9/9/2r6/5K3 w
2步杀1005,2ra5/5kcR1/5aN2/6n2/9/9/9/9/3p1p1r1/4K4 w
2步杀1195,2ba3R1/4aN3/3kb4/2n6/3N5/6B2/9/2n1B4/3pAp3/4Kc3 w
2步杀1196,3a1ab2/4n4/4k3b/4pRN2/2n6/9/9/2Ncp4/2p1p4/3K5 w
2步杀1197,2R6/5n3/1N2k4/1N7/9/9/9/5pn2/4p1c2/5K1c1 w
2步杀1198,5a3/3k3N1/1R1cba3/6N2/5r3/9/9/9/4p4/3K2B2 w
2步杀1199,4k4/5cR2/2N1b4/9/4N4/9/9/1r1p5/4p4/3K5 w
2步杀1200,3a1a3/5kN2/4R4/4N4/3c5/9/3r5/3p5/4p4/3K5 w
2步杀1201,1R7/4ak3/3ab1N1b/4p1N1p/6c2/9/9/9/3p1p2r/4K4 w
2步杀1202,8R/3Nck3/9/5N2c/9/9/9/5p3/4p3r/5K3 w
2步杀1203,1n1k5/2R6/b4N3/N8/9/9/9/4B4/3p1pr2/4K4 w
2步杀1204,3ak1b2/4a2N1/4b4/3N5/9/9/9/3A1R3/cnr6/4KA3 w
2步杀1205,3a1a3/6R2/3k1N3/3N5/9/9/r8/3n5/4n4/5K3 w
2步杀1206,2r1kc3/2NR2n2/b2Nn4/9/9/9/9/4p4/3p1p3/2p1K1p2 w
2步杀1207,3ak1b2/4a4/1c2b1N2/1N7/9/9/9/9/2r1r4/3K1R3 w
2步杀1208,5kr2/2NR5/5a3/2N6/6r2/9/9/3n5/4p4/5K3 w
2步杀1209,2r6/2R6/3k5/2pN2N2/1nb6/9/9/2nc5/2p2p3/3K1p1r1 w
2步杀1309,3ak1b2/4a4/4b1N2/5R3/9/9/3R5/5p3/4p1r2/3K5 w
2步杀1310,1R1ak1b2/2R1a2r1/2N1b4/9/9/9/9/9/4p1p2/3p1K3 w
2步杀1311,2baka3/5R3/4b4/2N6/7c1/3R5/2r4n1/4B4/3pA4/4KA3 w
2步杀1312,4kab2/3Ra2N1/4b4/9/9/5R2n/9/4B4/4Apr2/2BAK3c w
2步杀1313,2b2k3/4a1R2/4baN2/8n/9/9/9/4p2r1/4Ap3/3RK3c w
2步杀1314,3aka3/4nR3/4bN3/7n1/6b2/9/9/R3B4/2p1r4/3K2B2 w
2步杀1315,2R6/3kaN3/9/5n3/9/9/9/B2n1A3/6p2/c2rRK3 w
2步杀1316,2bk5/6R2/4nN3/9/3n5/3R5/9/2rp5/6c2/3K1p3 w
2步杀1317,2bak4/3Ra4/2N1b4/9/9/9/9/9/5r1r1/3RK4 w
2步杀1318,3k1aR2/4aN3/3cR4/9/9/9/9/9/2r3r2/4K4 w
2步杀1319,R2ak1b2/4a2R1/2N6/9/9/9/9/5n3/2r1r4/5K3 w
2步杀1320,3ak1b2/4a4/2N1b4/3R5/9/9/5R3/4n4/4r1r2/5K3 w
2步杀1321,2baka3/4n1r2/4b4/4p1N2/9/9/9/5R3/5pr2/3RK4 w
2步杀1322,3a2R2/4ak3/4n1R2/4N4/2r1c4/9/9/3p5/8r/3K5 w
2步杀1323,2b5R/1n7/3k1N3/1n4p2/2rc1R3/6r2/9/5p3/4p4/5K2c w
2步杀1324,4k1r2/1R7/3R3nr/2p1N4/n8/9/9/5p3/c1c1p1p2/5K3 w
2步杀1346,3k5/6R2/4b4/4N1N2/9/9/9/3n5/4p4/r1c2KR2 w
2步杀1347,2ba2R2/1N1cak3/5rN2/6R2/9/9/9/9/7r1/1cBAKA3 w
2步杀1348,2R2ab2/3kac1N1/2Nr5/2R6/9/9/9/9/1r7/3AKABc1 w
2步杀1349,4k4/2R6/6R2/4nrN2/n8/2N4r1/9/9/2p1pc3/3Kc4 w
2步杀957,4R4/5k3/9/9/8N/9/9/4pp3/3p1p3/4K4 w
2步杀958,2bakc3/2R1a4/4b4/3N5/9/9/9/B4n3/4p4/3K2B2 w
2步杀959,8R/4ak3/5aN2/8n/6b2/9/9/9/3p1pp1c/4K4 w
2步杀960,3a5/6R2/3k4b/2N1n4/6b2/2B6/5n3/9/3p5/4KAB2 w
2步杀961,5kb2/2N2n3/3n4b/9/9/9/9/4R3B/2p1pp3/3K4c w
2步杀962,3akr3/2R1a4/9/3N5/9/9/9/9/4p4/3K5 w
2步杀963,3rka3/4a1R2/9/5N3/9/9/9/9/4p4/5K3 w
2步杀964,5kb2/3R4N/4b4/9/9/9/9/4B4/2r1p4/2BK5 w
2步杀965,2bakab2/9/9/3N3R1/9/9/9/4Bp3/4r4/2B2K3 w
2步杀966,3aN4/4ak3/9/9/9/9/4R4/9/3p1pr2/4K4 w
2步杀967,5a3/4ak3/9/9/9/7N1/9/9/2r1pp1R1/3K5 w
2步杀968,2ba1R3/4k4/4b4/9/1N7/9/9/3p5/1r2p4/5K3 w
2步杀969,2ba5/4k1N2/4b4/9/9/5R3/9/4B4/3rp1p2/2B2K3 w
2步杀970,3ak4/9/3aN4/9/9/4R4/9/4p4/2r2p3/4K1p2 w
2步杀971,3a2b2/4k4/4bRN2/9/9/9/9/4pp3/2r2p3/4K4 w
2步杀972,5a3/7r1/3a1k2b/R8/5Nb2/9/9/2p1p1p2/3p1p3/4K4 w
2步杀973,4ca3/4ak2r/6R1b/9/4N4/9/9/8B/4K4/9 w
2步杀974,4ka3/8R/9/7N1/9/9/9/9/4A4/crBAK4 w
2步杀975,3a2R2/4ak3/5cN2/9/9/9/9/4p4/1r7/4K4 w
2步杀976,4c4/9/2Naka3/9/9/9/9/4B4/2r1p4/2BK4R w
2步杀977,3ak4/8R/9/9/4N4/9/9/4B4/2rp5/1cBAKA3 w
2步杀978,3a1a3/4k4/9/4N4/9/3R5/9/5n3/4r4/3K5 w
2步杀979,3akr3/3Ra4/9/3N5/9/9/4n4/9/9/3K5 w
2步杀980,3aka3/9/4b4/1N7/2n6/7R1/4r4/4B4/9/4K4 w
2步杀981,9/3ka4/b1R2a3/2N6/2b6/9/9/4BAn2/4A1r2/5KB2 w
2步杀982,3k5/9/9/9/1N7/9/7R1/4B1n2/3p4r/4K4 w
2步杀983,5n3/4ak3/7R1/9/4N4/9/9/9/3p2r2/4K4 w
2步杀984,9/3k5/3a5/3N5/9/9/9/3R5/3p1r1n1/4K4 w
2步杀985,3k5/4aN3/3a5/9/9/9/9/1R4n2/3p2r2/4K4 w
2步杀986,9/9/4ka3/3R5/4N4/9/9/4B1n2/3p1r3/4K4 w
2步杀987,6b2/3ka4/2Ra5/1rN6/9/9/9/2nA5/5p3/4KA3 w
2步杀988,9/3k5/b2a1a3/7n1/4N4/9/9/6R2/5p1r1/2BAK4 w
2步杀989,3a2b2/3ka4/3n5/9/2bRN4/9/9/9/3p1pr2/4K4 w
2步杀990,5ab2/c3k4/4ba3/7N1/9/3R5/n8/4B4/4r4/2BK5 w
2步杀991,3akab2/9/4b4/9/6N2/4c4/9/2n6/3p2r2/1R2K4 w
2步杀992,2b2a3/5k3/b4aN2/9/5n3/9/2r6/9/3p1pc2/4K1R2 w
2步杀993,3a1kbc1/4a4/1r6b/2n6/5N3/2B6/9/3A1R3/3p1p3/4K4 w
2步杀994,3a1kb2/R8/5a1n1/6N2/6b2/9/9/B2A1A3/1r1p1p3/4K2c1 w
2步杀995,3a5/3ka4/2R5b/1n7/2N3b2/9/9/3p1A2B/5rn2/4K1B2 w
2步杀996,2bnka3/4c3R/4b4/3N5/9/6B2/6r2/3A5/4AK3/6n2 w
2步杀997,2b2a3/3k5/2R1ba3/2N6/9/9/9/9/3r2r2/4K4 w
2步杀998,2bk1a3/2R6/1rN1ba3/9/9/9/9/9/2r6/4K4 w
2步杀999,2R3b2/3ka4/2Nab4/9/9/9/9/9/1r5r1/4K4 w
3步杀2008,3akab2/9/4b4/7N1/9/5R3/9/9/3np1p2/5K3 w
3步杀2009,4ka3/4a2N1/9/9/7R1/9/9/2n6/3p1p3/c3K4 w
3步杀2010,2ba1n3/4k1N1R/4b4/6c2/2n6/9/9/4B4/4p4/3K2B2 w
3步杀2011,2bakn3/8R/4b4/6cN1/9/9/n8/4B4/4p4/3K2B2 w
3步杀2012,3a5/4ak3/9/5N3/9/4R4/9/9/3p3r1/4K4 w
3步杀2013,9/4k4/5RN2/9/9/9/9/4B4/4p2r1/2B2K3 w
3步杀2014,2bk1ab2/2R1a4/2Nr5/9/9/9/9/9/5p3/4K4 w
3步杀2015,2R6/4a4/3k1a3/2N6/7r1/9/9/6p2/4AK3/3A5 w
3步杀2016,3a1k3/4a2R1/9/9/7N1/9/9/4B4/2r1p4/2BK5 w
3步杀2017,3k2b2/9/4b4/4N4/9/1R7/9/4B4/3p1r3/2B1K4 w
3步杀2018,2bak4/9/4b4/7N1/9/9/9/4BR3/3rp4/2B2K3 w
3步杀2019,4k4/3R5/4b4/9/4N1b2/9/r5p2/4B4/9/2BAK4 w
3步杀2020,9/4k4/5RN2/9/9/9/9/4B4/3pr1p2/5KB2 w
3步杀2021,2bakaR2/9/9/N8/9/9/9/9/3pp3r/5K3 w
3步杀2022,3k1ab2/9/4b4/1R7/3N5/9/9/3p5/4pr3/3K5 w
3步杀2023,2ba1a3/3k5/b8/4R4/3N5/9/9/3pB4/6pr1/4K1B2 w
3步杀2024,3aN1b2/4a4/3k4b/9/9/2B2R3/9/2pAB4/2r2p3/3K5 w
3步杀2025,4R4/9/3N1k3/2p6/9/9/9/3p5/2r1p4/3K5 w
3步杀2026,2b6/4a4/1N3k3/9/4R4/9/9/3p5/r3p4/3K1p3 w
3步杀2027,3ak1b2/4a4/9/4R4/2N6/9/2r6/9/9/c1BAKAB2 w
3步杀2028,9/3k5/4c4/4N4/9/6R2/9/5p3/4r4/5K3 w
3步杀2029,9/3k5/4c4/4N4/9/6R2/9/9/4r1p2/5K3 w
3步杀2030,3a5/3k2N2/9/9/9/1R7/9/9/4p2r1/5K2c w
3步杀2031,9/3k5/4c3b/4N1R2/9/9/9/9/4r1p2/5K3 w
3步杀2032,3k5/9/3a5/9/1N7/9/9/5R3/1c1rA1p2/3A1K3 w
3步杀2033,3c1a3/4ak2r/6R2/8p/9/6N2/9/B7B/4K4/9 w
3步杀2034,3a1k3/4a4/b8/7R1/5N3/9/9/Bc3A3/2rp5/2B1KA3 w
3步杀2035,2r2a3/5k3/2N2a3/9/9/4R4/3p5/9/4Ap2c/3K1AB2 w
3步杀2036,3a1ab2/3k2N2/4b4/6p2/9/2R6/4r4/4B4/4A1p1c/2B1K4 w
3步杀2037,2ba2b2/4k4/5a3/1R7/4N4/2B6/9/3AB4/2p1Ap1r1/4K3c w
3步杀2038,2b6/4ak3/2N2a3/9/2b6/9/9/4B4/2rcA4/1cBAK2R1 w
3步杀2039,3a2b2/4a4/5k2b/5N3/9/3R5/p8/3AB4/6pcc/r1BAK4 w
3步杀2040,3ak4/4a4/9/7N1/9/4R4/2r6/9/4K1n2/9 w
3步杀2041,3ak4/8R/4b4/7N1/9/9/9/3n5/4r4/5K3 w
3步杀2042,2bak1bR1/4a4/9/3N5/9/9/9/5n3/4r4/3K5 w
3步杀2043,2R2a3/4a4/b2k5/2N6/3r5/9/9/4B1n2/9/4K4 w
3步杀2044,4kab2/4a4/2N1b4/9/9/R8/9/6n2/5K3/4rA3 w
3步杀2045,2ba1kbR1/4a4/5N3/9/9/9/9/5A3/2nr5/4KA3 w
3步杀2046,5ab2/4a4/1N1k5/9/9/9/4R4/4BAn2/4A1r2/5KB2 w
3步杀2047,2bak4/4a4/4b1N2/7R1/9/9/9/2n1B4/1r2A4/4KAB2 w
3步杀2048,4kab2/4a4/4b4/1N4R2/9/9/9/4Bn3/5r3/2BAKA3 w
3步杀2049,5k3/9/5a3/9/4RN3/9/9/2n6/3p4r/4K4 w
3步杀2050,3a1k3/4a4/9/9/9/7NR/9/2n6/3r1p3/4K4 w
3步杀2051,5k3/4a4/9/9/5N1R1/9/9/2nA5/3p1r3/4K4 w
3步杀2052,5a3/5k3/5a3/9/9/3NR4/9/5An2/3p3r1/4K4 w
3步杀2053,2bR1ab2/9/4ka3/1N7/9/9/4n4/6r2/4p4/3K5 w
3步杀2054,3a1kb2/4a1R2/5rN2/9/6b2/9/9/6n2/3p5/4K4 w
3步杀2055,3ak4/4a4/9/7N1/9/4R4/9/9/1n1rAp3/4KA3 w
3步杀2056,2bak4/4a4/4b4/9/4N4/7R1/9/2n2A3/3r1p3/4K4 w
3步杀2057,5ab2/3N1k3/5a2b/9/9/4R4/9/4p4/5n3/4K1Br1 w
3步杀2058,2b1kab2/4a4/9/8R/6N2/9/1n7/9/5p3/3AKAr2 w
3步杀2059,2baN4/4a4/3k5/9/9/2B2R3/9/3AB4/1n1r1p3/4K4 w
3步杀2060,3akab2/9/4b4/7N1/9/5R3/8n/4B4/3rp4/5KB2 w
3步杀2061,9/5k3/b2aNa3/9/9/4R4/9/2n6/5p1r1/2BAKA3 w
3步杀2062,3k5/4aN3/9/1R2p4/9/9/9/2n6/3r1p3/4K4 w
3步杀2063,3a5/5k3/3a1rN2/9/9/2B6/9/B2n2R2/3p1p3/4KA3 w
3步杀2064,5ab2/3ka4/2R1n4/2Nc5/9/9/9/4B4/2r1A4/3AK4 w
3步杀2065,2bak4/4a4/9/9/4N4/4R4/1n7/4B4/4A4/crBAK4 w
3步杀2066,2baka3/9/4b4/9/3N5/5R3/9/4B3n/c3A2r1/3A1K3 w
3步杀2067,2b2a3/3ka4/2R1n4/2Nc5/6b2/6B2/r8/4BA3/4A4/4K4 w
3步杀2068,2ba1k3/9/3a5/8N/9/8R/9/2n6/3p1r3/c3K4 w
3步杀2069,5a3/4a4/n2k5/9/3N5/3R5/9/4B4/5p1r1/2B1K3c w
3步杀2070,5a3/9/b2a1k2b/9/9/2N1R4/9/2n6/3p1r3/3cK4 w
3步杀2071,2bakab2/7R1/4c4/5N3/9/9/3r5/2n1B4/4Ap3/2BAK4 w
3步杀2072,9/3ka4/1R1c1a3/9/N8/9/9/2p1B4/3K5/2c1rnB2 w
3步杀2073,4R4/9/3k5/9/9/9/3N5/3r1n3/3n5/3K5 w
3步杀2074,5a3/4a4/1N1k5/2R6/9/5r3/5r3/4B4/4Ap3/2B1KA3 w
3步杀2075,2b2a3/7R1/b3Nk3/9/9/9/9/5r3/3p1pr2/4K4 w
3步杀2076,r3k2r1/4a4/9/3R1N3/9/9/9/9/3p1pc2/4K4 w
3步杀2077,2bak1b2/4a4/9/3N1R3/9/9/9/6n2/r2r1p3/4K4 w
3步杀2078,6b2/5k3/4Nc2b/9/8n/9/9/5p3/2rpRpr2/4K4 w
3步杀2079,6b1r/9/2N1k4/8p/8n/5R3/1r7/2p1p4/2c1p4/3K5 w
3步杀2553,1cR2a3/5n3/3a1k3/2N2N3/9/9/9/9/4p4/3p1K3 w
3步杀2554,2R6/2N2n3/1N1k5/9/9/9/9/5pn2/4p1c2/5K1c1 w
3步杀2555,2R6/5n3/1N2k4/3N5/9/9/9/5pn2/4p1c2/5K1c1 w
3步杀2556,3ak4/4a1R2/4b4/6N2/1r2N4/9/9/9/5p3/4K4 w
3步杀2557,3a1kb2/4a4/9/8N/8N/9/9/3R5/5p2r/3AK4 w
3步杀2558,2ba1kb2/3Ra4/9/8N/8N/9/9/8r/5p3/2B1K4 w
3步杀2559,3a1k2N/4a4/8R/8N/9/9/9/9/2rp1p3/4K4 w
3步杀2560,2ba1k3/9/4b4/3N2c1N/9/9/3R5/9/2r1p4/3K5 w
3步杀2561,3ak1b2/4a1R2/4b4/8N/4N4/9/9/9/3p1p1r1/4K3c w
3步杀2562,4k4/4a1R2/3a2n2/2N4N1/9/9/9/9/3r1p3/4K4 w
3步杀2563,4ka3/4aR3/6N2/9/4N1n2/9/9/9/3p4r/4K4 w
3步杀2564,2bak4/4a4/4b1R2/1N4N2/9/9/9/2n6/5p2r/3AK4 w
3步杀2565,1N1k2b2/6N2/4b4/9/2p6/9/9/2r1p1n2/9/1R2K4 w
3步杀2566,2ba1kb2/3Ra4/9/8N/8N/9/9/2n5r/3p1p3/2B1K4 w
3步杀2567,5NR2/4k4/3c5/9/4N4/9/9/3p5/1r1np4/3K5 w
3步杀2568,9/2ck5/4R4/4N4/3N5/9/6nr1/5p3/4p4/5K3 w
3步杀2569,9/3kn4/b2a5/N2N5/9/9/9/9/3p1p1r1/2R1K3c w
3步杀2570,nNbk1ab2/c3a1N2/9/2R6/9/2B6/7n1/4B4/6p2/1r1AK4 w
3步杀2571,4kr3/1N2a2R1/3a5/3N5/9/9/9/3A5/3p1r3/4K4 w
3步杀2572,2r6/4k2N1/5R3/5N3/9/9/9/3p5/1r2p4/3K5 w
3步杀2573,5R3/4a4/3k5/2N6/4r4/4N4/9/9/1r1p1p3/4K4 w
3步杀2574,3k5/2R1a4/3aN1N2/9/2cc5/9/9/9/rr7/3K5 w
3步杀2575,3a1a3/1Nc2k3/5rN2/9/9/9/9/9/3p1p3/4K1Rrc w
3步杀2576,3a1a3/5k3/6R1N/1N3r2p/8n/9/9/4B4/2p1r4/2BK5 w
