1步杀353,5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w
3步杀1916,3k1a3/2P2P3/3ab4/8C/5R3/4r1B2/9/5A3/3pA2p1/5K3 w
3步杀1917,5kb2/4P4/b8/5P3/2r6/6B2/6C2/8B/4pc3/1R3K3 w
3步杀1918,3R5/3P5/4ka1cC/9/4P4/9/9/9/4p1r2/3c1K3 w
3步杀1919,5R3/c2k5/3aP4/2P6/9/9/9/9/2rp1p3/1c2K1C2 w
3步杀1920,6R2/c2ka4/3aP4/2P6/9/9/9/9/2rp1p3/1c2K1C2 w
3步杀1921,2CR5/2P1k4/7c1/4P4/9/9/9/4p4/1r5r1/4K4 w
3步杀1922,2b2a3/2P1aR2r/3kb4/1r2P4/9/9/9/4B2C1/3pAp3/c3KAB2 w
3步杀1923,c2k1a3/4PP2r/2na5/9/9/9/7C1/1R1A5/3r1p3/4K4 w
3步杀1924,6cC1/3k1Pn2/5a3/3P5/9/9/9/3pR4/2r1r4/3K1p3 w
3步杀1925,1P1akar2/2RP5/2n1b4/6p2/2b6/9/C8/2c1p4/4A1r2/3A1K3 w
3步杀1926,4k1b2/9/4bP3/C5P2/P8/9/3R5/9/1c2K4/1c5r1 w
3步杀1927,3an4/3ka4/4P1c2/9/4P4/4Pr3/3C5/3RB4/1r2Ap3/4KA3 w
3步杀1928,5RP2/4k1P2/9/4P4/3npc3/3r2C2/3p2p2/3rnK3/9/9 w
3步杀1974,3a1kb2/4P4/4nc3/4p4/9/CC7/9/9/2p1p4/1p1K4R w
3步杀1975,4ka3/9/5a2C/1R7/4CP3/9/4c4/B4An1B/2n1A1p2/5K3 w
3步杀1976,4kac2/4a4/b3P4/9/4C4/4R4/9/5C3/4Ap2r/4KA3 w
3步杀1977,3a3R1/3Ck4/3a1P3/4C4/6p2/9/9/9/4p4/5K1cr w
3步杀1978,2ba2R2/4ak3/2C1b4/2c3p1p/4p4/C1P6/9/6r2/9/3AK4 w
3步杀1979,3ak4/R3a1P2/b3b4/4C4/9/1C7/9/4B4/4A4/2B1KArcc w
3步杀1980,1c2k1C2/c4P3/5a3/7R1/9/9/9/9/3pr2C1/2B2K3 w
3步杀1981,3a3R1/3Ck4/3a1P3/4C4/6p2/9/9/9/4p4/5K1nr w
3步杀1982,4ka3/3Pan3/R3b4/9/9/9/3C5/5p3/3rp4/5K1C1 w
3步杀1983,2bk2b2/1C2P4/3C5/9/9/4R4/9/n4A3/3r1p3/c3KA3 w
3步杀1984,3kCab2/1R2a1rC1/2cn4b/9/9/9/4P4/9/4p4/3K5 w
3步杀1985,5Rb2/3kn4/4b3r/4p4/9/6C2/4P4/4C1c2/4A4/2BAK1B2 w
3步杀1986,6b2/3kaP3/3ab4/3R3C1/9/9/9/1n2r4/2p1A4/c2K1A2C w
3步杀1987,3cR4/2C6/3k5/5P3/3C5/2n6/9/5p3/4p2r1/5K3 w
3步杀1988,1CbC2P2/5k3/4b4/4p4/9/7r1/R5n2/3n5/2p1p4/3K5 w
3步杀1989,1R1aka3/C2P1n3/3nb4/1C7/6b2/6B2/9/5p3/4p1pr1/c4K3 w
3步杀1990,2r1k1C1R/3Pa2C1/5a3/9/9/7r1/9/3p5/4p4/3K5 w
3步杀1991,C1Ra1k3/1C1Pa4/9/9/9/9/9/4pr3/3r1p3/4K4 w
3步杀1992,3k1CR2/2P6/9/9/4r4/4p4/5p1r1/3C1p3/4p4/5K3 w
3步杀1993,3k1a3/4PR3/3a5/9/9/6C2/9/9/2rcpr3/3K1C3 w
3步杀1994,5kb2/4P4/3cb3r/9/9/5C2C/9/9/2r1p4/3K1R3 w
3步杀1995,2b2k2C/4a4/3ab1C2/9/9/2p5P/4cr3/4B4/4Ar3/2BAK2R1 w
3步杀1996,1C7/1C3k3/3P1a3/9/9/9/9/9/3r1rn2/4K2R1 w
3步杀1997,2R4C1/3k3C1/3a1P3/9/9/9/9/9/2nr1r3/4K4 w
3步杀1998,2P1ka1n1/4a2C1/9/8C/9/9/4R4/6p2/2r3r2/4K4 w
3步杀1999,r3kab2/3Pa4/4b4/1r2p4/6n2/4C4/3R5/4B1C2/4A4/3K1A3 w
3步杀2000,5a1rr/3ka4/2P6/1n7/9/3C5/5RC2/9/3p1p3/2p1K4 w
3步杀2001,2c1kab2/3P5/1R2b3C/9/6C2/9/9/2n6/3r1r3/4K4 w
3步杀2002,1nbk1a1r1/C1R1a4/4b1r2/9/1P7/cC3n3/9/9/9/2BAKAB1c w
3步杀2003,3a3R1/2C2k3/3aP4/5C3/9/4P4/4r4/7n1/1pp1p4/3K5 w
3步杀2004,R4a3/1C1ka4/2P1b4/9/2b1P4/9/6rr1/3C1p3/4p4/5K3 w
3步杀2005,3cka3/4a4/2R1b4/p7p/6b2/4CcP1P/P3r4/4B4/4A4/2B1KAC2 w
3步杀2006,2r1ka3/3RC4/9/4p3p/P8/6P2/4C3P/7r1/3KA4/5A3 w
3步杀2007,4ka3/4a4/b3R3b/9/P7C/9/P1P1C1P1P/3KBA3/nprppppnr/9 w
3步杀2755,2baka3/2RP2R2/4b4/9/9/9/8n/2Cr5/4p4/5K3 w
3步杀2756,6R2/9/3k5/5P3/6C2/9/9/9/nr2p1pp1/R4K3 w
3步杀2757,2bak4/3RaCP2/3cb4/9/9/7R1/1r7/4B4/3nA4/4KAB2 w
3步杀2758,5kb2/9/R1R5b/3n3n1/9/2B6/P8/9/4A4/c1rAKC3 w
3步杀2759,4kab2/4a1P2/4b4/1R2R4/4C4/9/9/9/r3r3n/3p1K3 w
3步杀2760,r1bak4/4a4/n3b4/4C4/9/4R1R2/5rPc1/4BA2B/1p2Ac3/3K5 w
3步杀2761,4R4/4ak1n1/9/p3R1p2/6P2/2r1c4/P8/4BC3/4A4/1c2KAB2 w
3步杀2762,2b1k1C1R/3Ran2n/4b4/4c4/3P5/9/8P/3A5/3pA3r/1c3K3 w
3步杀2763,3ak3r/2P1aP1R1/4b4/9/r1b6/2R6/9/1C2B4/1p2A4/4KAB2 w
3步杀2764,2ba1kbR1/2rPa4/R8/4CP3/2p6/9/3rP4/4B4/2p1p4/2B2K3 w
3步杀2765,3rka3/4a4/4R1n2/p5p1p/3r5/6P2/P7P/7C1/9/3AKA1R1 w
3步杀2766,1R1nkabr1/4aR3/4b4/pC6p/4p1p2/2P6/P3P1P2/4B4/4A2cc/2BK1A3 w
3步杀2767,3aka3/3R5/4bcnr1/p1C6/4pn2p/2P3R2/P3P3P/4B4/4A4/2B1KA3 w
3步杀2789,4kab2/4aP3/4b4/R8/9/4R2C1/3pn2r1/2C1B4/4r4/5KB2 w
3步杀2790,4kab2/4aP3/3nb4/R1R6/9/4c4/9/1C1AC1r2/5K3/2BA4r w
3步杀2791,3ckab1C/4aP3/4b4/R8/9/4R4/3pn2r1/2C1B4/4r4/5KB2 w
3步杀2792,1C1k5/2R6/9/9/4P4/4r2c1/4C2r1/1RpAKnpc1/9/9 w
3步杀2793,3a1kbn1/4P4/1c2nr3/4p4/9/2CC5/9/9/r1p2R3/3K4R w
3步杀2794,2bak4/1R1Pan3/c8/4n4/4p4/2C6/r8/1C2B1R2/2r1p4/2B2K3 w
3步杀2795,2bak4/1R2an3/c3P4/4n4/4p4/2C6/r8/1C2B1R2/2r1p4/2B2K3 w
3步杀2796,3k1ab2/4a4/4b4/8P/2p6/6R2/P2rC1c2/3R1n2B/3pAr3/3AK1C2 w
3步杀2797,4k1b2/2CnaR3/2ca2n2/pR4p1p/2p3r2/9/P1P1c3P/3CK4/9/2BA1AB2 w
3步杀2798,4ka1r1/1R2a4/2n1b4/p7p/2R3p2/4C4/Pc1r2P1P/4C4/c3A4/2B1KAB2 w
3步杀2799,2Ck2bc1/1R2aR3/3ab4/p3p3p/9/P1C6/1nP1P3P/1r2B3B/4Ar3/3K1A3 w
4步杀3289,1Cbak4/4aP3/4b4/9/9/3R5/9/9/2p1p4/3K1p3 w
4步杀3290,4k2C1/c3a1P1R/4b4/4c4/6b2/6B2/9/5n3/9/2BK1A3 w
4步杀3291,8R/4ak3/4Pa3/1r7/9/9/9/5A3/4AC3/2BK5 w
4步杀3292,2b2a3/3kaP2C/3rb4/9/9/5R3/9/4B4/4p4/5KB2 w
4步杀3293,3a2b2/C2Pak3/4br3/9/9/3R5/9/4B4/4p4/2BK5 w
4步杀3294,3a2b2/C2Pak3/4br3/9/9/9/3R5/4B4/4p4/2BK5 w
4步杀3295,3k1a3/R3aP3/9/9/C8/6B2/3p5/6r1B/9/3AKA3 w
4步杀3296,3aR4/4a4/4k4/9/4P4/9/7C1/9/2rp1p3/4K4 w
4步杀3297,3aR4/4a4/4k4/9/4P4/9/8C/9/2rp1p3/4K4 w
4步杀3298,6b2/3P5/4bk3/9/9/9/9/9/1r1p1p3/4K2RC w
4步杀3299,6b2/4a4/3kba3/4P1R2/9/6C2/9/5p3/1r2p4/5K3 w
4步杀3301,1C2ka3/4a4/b3P4/9/9/6p1r/3R5/2p2A3/6p2/4KA3 w
4步杀3302,1rb2k3/4a4/4Pa3/6R2/9/4p1B2/7C1/3A1A3/1p3p3/2BK5 w
4步杀3303,r1b2k3/9/4Pa3/7C1/6R2/4p1B2/9/3A1A3/pp4p2/3K5 w
4步杀3304,5a3/2r1ak3/4b4/3R5/4P1b2/2B6/5C1c1/4BA3/4K4/9 w
4步杀3305,3k1a3/4aP3/r1c1R3b/p8/9/9/9/3C4B/9/4K1B2 w
4步杀3306,5a3/3kaP2C/3cb4/9/6b2/5R3/9/4B4/3rp4/2B2K3 w
4步杀3307,C6R1/4ak3/b3Pa3/9/9/1c7/9/B2A5/3p5/1rB1K4 w
4步杀3308,3a1k3/4a1P2/4b4/4C4/r8/3R3p1/9/9/4A4/2B1KABc1 w
4步杀3309,2bak1c1r/4aP3/4b4/3R5/4C1p2/9/9/4BA3/4A4/3K2B2 w
4步杀3310,2bak1c1r/4aP3/4b4/4C4/6p2/3R5/9/4BA3/4A4/3K2B2 w
4步杀3311,r1c1kab2/3Pa4/4b4/5R3/2p1C4/9/9/3AB4/4A4/2B2K3 w
4步杀3312,c1baR1b1c/4a4/5k3/4P4/9/9/8C/9/2rp1p3/4K4 w
4步杀3313,2b1kc3/3Pa4/4b4/1C7/4R4/9/5p2p/6p2/4A3r/1cBAK1B2 w
4步杀3314,5k3/6P2/7n1/4r4/9/9/9/2R6/4A4/4KC3 w
4步杀3315,2ba2n2/4ak3/4b1P2/4C4/7r1/3R5/9/4BA3/4A4/3K2B2 w
4步杀3316,4kn3/5P3/3a1a3/9/9/6R2/9/9/2r1p4/3K2C2 w
4步杀3317,6b2/3n1k3/9/6P2/9/9/4R4/3C5/1r1p5/4KA3 w
4步杀3318,4kn3/5P3/3a1a3/9/9/6R2/9/4B4/2r1p4/3K2C2 w
4步杀3319,3ak4/4aP3/4n3b/6C2/6b2/7R1/9/9/2r1p4/3K5 w
4步杀3320,2bak4/4aP3/4b4/9/6n2/2R3B2/9/9/5p1r1/2C1K4 w
4步杀3321,9/9/3ak4/5PR2/6C2/9/9/4B4/4A2pn/3K1AB1r w
4步杀3322,2Rak4/6P2/5a3/9/6b2/9/C8/5A2B/3KA1pnr/6B2 w
4步杀3323,2b1kaR2/3Pa3C/9/9/9/9/9/1r2p3n/3pA4/2B2K3 w
4步杀3324,2b6/4a4/3k3C1/5P3/9/9/9/2nAR4/1rp1Ap3/2B1K1B2 w
4步杀3325,3k2b2/2P1aR3/5n3/8C/2b6/9/4p4/4B4/r3A1p2/2BAK4 w
4步杀3326,3a1kb2/4n3R/8b/5P3/9/9/9/4p4/2r1p2C1/3p1K3 w
4步杀3327,4kab1C/1P2a2R1/9/9/6b2/9/9/2nA5/3r5/c3KA3 w
4步杀3329,1r2kab1C/c2Pa4/5n3/9/9/7R1/9/9/5p3/4K4 w
4步杀3330,2b1kab1C/4a1R2/2P6/9/9/9/9/9/c1nr1p3/4K4 w
4步杀3331,4kab1C/4a2R1/2P6/9/2b6/9/9/9/1cnr1p3/4K4 w
4步杀3332,2C2ab2/3ka4/1R1nbrc2/2P6/9/6B2/9/5A2B/4Ap3/3K5 w
4步杀3333,c4a3/9/n3kaR1C/8P/9/1rB6/9/4p4/3p5/2B2K3 w
4步杀3334,2baka3/3RnP3/4b4/9/9/9/5p3/3CB4/3pAr3/4KAB1c w
4步杀3335,5k3/4a4/3a2P2/1R2p4/9/9/C8/4KAnr1/2p1A4/5p2c w
4步杀3336,3C1ab1r/5k2n/3Pca2b/1R3c3/6p2/9/9/3A5/9/2B1K1B2 w
4步杀3337,3k1nRC1/4aP3/4b4/9/2b6/3p5/1n2p4/B2AB4/rp7/3A1K3 w
4步杀3338,C2k2b2/4a4/2Pa5/2R6/2p6/6B2/9/4KApnB/4A1pnr/9 w
4步杀3339,4k1CRn/3Pa4/5a3/9/9/9/9/4p2c1/4pr1n1/3K3c1 w
4步杀3340,r2aka3/3P5/4r4/8C/9/6R2/9/3p5/4p4/3K1p3 w
4步杀3341,C1ba5/4k4/5cr2/9/4P4/3R5/9/9/2r1p4/3K5 w
4步杀3342,4k2C1/4a4/4P1R2/9/9/9/2n6/3K5/2r6/1r7 w
4步杀3343,9/3kaR3/2Pab1n2/9/3r3r1/3C5/9/4B4/4A4/3A1KB2 w
4步杀3344,4nr3/3rk1P2/4b4/9/2p1R1p2/9/9/5A3/5npp1/3ACK1p1 w
4步杀3345,9/3ka2PC/2Pa5/9/9/9/9/8R/3p1p3/2p1K1p2 w
4步杀3346,5Pb2/3kaP3/3a4c/3R3C1/9/9/9/9/2p1pp3/3K5 w
4步杀3347,2b2ab2/4k4/5Pn2/9/3P5/4C4/9/3R5/4pp3/3K1p3 w
4步杀3350,5a3/9/3k1a3/4R1P2/2P6/2p6/9/3C1p3/4p2r1/5K3 w
4步杀3351,2bk1a3/5P3/3ab4/1R2p2Cp/9/6B2/8P/4B4/p3A2pr/3K1A3 w
4步杀3352,3a1k3/c3a4/4P4/9/9/7R1/r1P6/4B4/4AC3/2B1KA3 w
4步杀3353,2c1k1P2/3Pa4/3ab4/4C4/1r7/2B3R2/9/4B4/3pA4/3A1K3 w
4步杀3354,4kab2/3Pa4/4b1P2/4C4/9/6R2/r2pc4/4B4/4A4/2BK1A3 w
4步杀3355,R4a3/4P1C2/2P1k4/9/9/9/9/9/1r1pA2p1/1cBA1K3 w
4步杀3356,2b1kab2/5P3/3a5/6R2/2P1p4/6B2/9/6C2/4p1pr1/1cBA1K3 w
4步杀3357,3k1aR2/c8/3aP4/2P6/9/9/9/9/2rp1p3/1c2K1C2 w
