11步杀7987,4N4/4a4/4ka2N/9/9/9/8C/C2p5/4pp3/3K3R1 w
12步杀9523,r4a2n/8C/3k4N/9/8R/N8/6n2/2pp5/4p4/r1cK5 w
12步杀9524,1R7/8C/n2kn4/4N2rr/4N4/5c3/9/3pp4/4c4/3K5 w
12步杀9525,2b6/6r2/bN3k2C/1r1n1N2c/6Rn1/6c2/9/5p3/4p4/5K3 w
12步杀9526,1cN6/1CN1ak3/6R2/6pr1/n5b2/9/9/9/2p1p4/3Knr1c1 w
12步杀9528,2r6/5k3/5NNR1/2p3p2/1nb6/9/9/2nccp3/2p2C3/3K1p1r1 w
12步杀9555,9/4ak3/2Nab1CC1/2p3N2/9/1RBpcpB2/3p1p3/4r4/3K1n3/2r3n2 w
12步杀9556,7n1/2NRak3/4bc3/9/1nbc2C2/6N2/6p2/6C2/2r3r2/4K4 w
12步杀9571,2rak1r2/3Ra4/4b4/1N7/4p4/R8/9/3C5/3p5/3AKAnc1 w
12步杀9572,4R1bc1/9/5k3/6p2/6b2/6N2/9/3pnCR2/2r1p2r1/3K5 w
12步杀9573,4k3c/3R5/7r1/9/1n2Nn1R1/1C7/9/5p3/2r1p1p2/5Kc2 w
12步杀9574,1Rb1ka3/5N3/4bR3/4nrn2/1c3r3/9/6C2/5p3/4p1p2/3c1K3 w
12步杀9583,5k3/4a1R2/2N1R4/p8/4C2C1/9/9/4pcr2/1np2r3/3K1p3 w
12步杀9584,1c2k3C/4a4/3ab4/5R2N/5C3/2R6/5p3/4B1n2/1pr1r1n2/3K1AB1c w
12步杀9585,6b1c/2R4C1/4ka3/2p2N3/2n3nc1/9/1rr6/2C6/3pp4/5KR2 w
12步杀9594,4N4/3ka4/1n2N2C1/3cp1p2/6b2/9/1r3R3/9/2p1p4/3K1Rr2 w
12步杀9595,9/4a4/3k1a3/2R3r2/1N5n1/C7c/1N5n1/2R3r2/3p1p3/4K4 w
12步杀9596,2Rc5/5n3/3k4C/2c6/8r/2rN2Nn1/9/9/3p1p3/4K3R w
12步杀9597,6c2/rN2a1c2/3a1k2b/9/8n/1r4N2/8C/5n3/2p1p1R2/3K2R2 w
12步杀9598,1n1rk4/9/1N2ba2N/1CpRRc3/2bnp4/9/9/9/2rp5/1c2K1p2 w
12步杀9605,1N1a1kb1R/4a2R1/3cb4/9/9/7NC/9/r8/2p1p4/1C1K5 w
12步杀9606,4k2CR/4a4/4naN2/6p2/4p4/3N1c3/5r3/5p3/4p2C1/5K1R1 w
12步杀9607,2bak4/3Ra1n2/4b4/6nCN/9/2R6/9/3N5/3pC4/2p1K1crc w
13步杀9177,4n1R2/5k3/3a1a3/9/7NC/9/9/1cn2A3/3p1p3/c3KA2r w
13步杀9664,1C1a5/4a4/1N1k5/9/9/4R4/7r1/5p3/4p4/5K3 w
13步杀9665,2b1ka3/4a4/9/2p3p2/1R1N5/C5B2/9/9/4p1r2/5K3 w
#13步杀9666,3ak1b2/4a4/1c2b4/3NR4/2p6/4C4/9/9/2r2p3/3K5 w
13步杀9667,C1b6/1R7/3ck4/7N1/4p4/9/9/9/3p1p2r/4K4 w
13步杀9668,1N4R2/4kn3/9/7C1/9/9/9/r2p5/4p4/3K5 w
13步杀9669,3k5/9/9/2N1R2cC/9/1n7/9/3p5/1r2p4/3K5 w
13步杀9671,C3k3c/4a4/2Na5/9/9/1R7/5r3/5p3/4p1r2/5K3 w
13步杀9672,4kar2/4a2nn/4bc3/RN1r5/2bC5/9/4p4/9/4p4/3p1K3 w
13步杀9697,2bR1a3/3N1k1n1/9/9/9/8C/8c/C3BA3/6r2/2B2K1n1 w
13步杀9698,3r1R3/C6NC/c3k4/9/9/9/9/5pn2/4p1r2/5K3 w
13步杀9721,9/5k3/3R5/9/2N6/9/6N2/9/1pp1p1c2/CrBK5 w
13步杀9722,6cN1/5k3/9/1cp2N3/5np2/5C3/8R/9/1rp1p4/3K5 w
13步杀9723,4R4/2C6/3k5/2n6/2N6/9/2n1N4/3pc4/1r2p4/3K5 w
13步杀9724,6R2/4k4/3N5/3c5/2bNp4/r2C5/9/9/1r2p4/3K5 w
13步杀9725,5a2r/5k3/C3b3N/7c1/4N1b2/3R5/3p5/1r3n2B/9/2BK5 w
13步杀9726,9/9/3aka3/9/2ccNRp2/4N4/3p2p2/2nrBKC2/6r2/9 w
13步杀9727,9/2n6/1r1n1k3/6R1N/4c1bNC/9/7r1/3pc4/4p4/3K5 w
13步杀9728,1cbk5/4R4/b1n3N2/2N6/6p2/9/6cr1/3p2Cn1/1r1p5/4K4 w
13步杀9729,1CcN1kb2/9/1n2ba3/6pN1/2nr5/5R3/5c3/3p5/4pr3/3K5 w
13步杀9730,1R7/4a2NC/b1N1k4/p8/nnb6/5c3/9/1r1p5/2p6/3Kcr3 w
13步杀9749,5N3/5k3/n1c1R4/4N4/9/9/9/3p5/1C2p2p1/1rCK1nrc1 w
13步杀9750,4ka3/c1r3n2/6N2/9/2r2N2R/9/9/1p7/1p1KC2n1/2p1cC3 w
13步杀9764,3aka3/9/3cbc3/4R4/4N4/1R7/6C2/9/2r2pn2/3AKA3 w
13步杀9766,4nk3/4a1R2/3a2R2/9/7NC/9/9/1cn2A3/3p1p3/c3KA2r w
13步杀9767,1rba1kb2/4a4/N3c3n/8R/8C/6R2/5p1r1/9/4p4/5K3 w
13步杀9768,3rk4/4a1R1R/cn2ba3/5NC2/9/9/9/5A3/1n7/2rAK4 w
13步杀9769,2b1kaR2/C4rN2/4c4/9/2c5n/9/9/9/1nr1p2R1/3K5 w
13步杀9775,r1bk2C2/9/1R1N5/6p2/9/4C4/5n3/4n1c2/3pp1p2/1R3K1c1 w
13步杀9776,5R3/5R3/3k5/2p1p1N2/2Cc2C2/3c5/9/9/2rp1pr2/4K4 w
13步杀9777,1r3k3/4a4/3abc3/1r2CR1N1/1Rb5C/9/9/2n1B1n2/3p5/2BAK4 w
13步杀9785,1r1ak1b2/N3aR2C/6N1n/4r4/9/9/9/5c2R/4p1p2/5K3 w
13步杀9789,4ka3/4a4/4b1r2/2N6/C5pC1/3R5/3R5/4B2n1/1n2p1p2/cr1N1K2c w
13步杀9790,5a3/1cn1nk3/1N2b3r/7RN/1cbRp4/9/2rC5/3Cp4/3p1p3/4K4 w
14步杀9281,7R1/3k1n3/9/3Npn2c/3N5/5C3/9/2r1c1r2/2p1pp3/3K5 w
14步杀9527,c1b3b2/3kaN3/2N2an2/r1p1n4/4R4/9/9/9/2pp1p3/2c1KC1r1 w
14步杀9834,9/6N1R/3a1k3/9/n8/9/9/1C1p5/r3p4/3K5 w
14步杀9873,C2a5/4k4/5N2R/9/C2c5/9/9/5p3/r3p4/c2AnK3 w
14步杀9874,3r1R3/C3k2N1/c8/9/9/9/9/5pn2/4p1r2/5K2C w
14步杀9887,4R4/2C6/3k5/9/9/1n2N4/2n1N4/3pc4/1r2p4/3K5 w
14步杀9888,2b2NN2/5n3/n3k3C/9/2r3pc1/6c2/9/5p3/4p4/3R1K3 w
14步杀9889,4k1r2/3N1R2c/b8/1n2p4/3N2pn1/5C3/3c5/5p3/4p4/5K3 w
14步杀9890,1r3R3/4a4/4k4/5N3/2b2nb2/3N5/9/3C1Kc2/4p1r2/3c2n2 w
14步杀9891,Cr2Nk2r/4a4/4R4/4N4/6b2/9/9/4c4/2np1p1n1/2c1K4 w
14步杀9892,1cN2a3/2N3R2/5k3/1C4pr1/n5b2/9/9/9/2p1p4/3Knr1c1 w
14步杀9926,4R4/4N2C1/3k5/9/2bc2b2/9/r8/9/3p1p3/4K1R2 w
14步杀9927,2c2k3/9/b3b3n/1NR6/R7C/9/9/3nBA2r/6p2/2BA1K3 w
14步杀9928,9/4a4/4k4/4c4/1rcCNRbR1/4p4/4n4/4K4/4n4/4r4 w
14步杀9929,cCbR5/1N2a2n1/5k3/9/2b6/9/9/9/1nr1p1R2/3K1c1r1 w
14步杀9935,7c1/2R5c/4ka2b/9/1rb3n2/1nr3R2/4N2CC/5p3/4p4/5K3 w
14步杀9936,4k1b1c/7C1/2R2a3/2p2N3/2n3nc1/9/1rr6/2C6/3pp4/5KR2 w
14步杀9937,9/4k4/b5cn1/2R6/2n1Nrpc1/4R4/4r4/5p3/6p2/1C1pCK3 w
14步杀9941,9/4k4/3N5/3R5/5C3/5p3/5pNc1/1r1p5/4p4/3K1R3 w
14步杀9942,9/4k4/5N3/3R5/2C6/3p5/1cNr5/5p1r1/4p4/3R1K3 w
14步杀9943,4NN3/4aR3/1n2k2C1/3cp1p2/6b2/9/1r3c3/9/2p1p4/3K1Rr2 w
14步杀9944,C1cN2br1/4k4/7RN/2n2R3/2nr5/9/9/9/4pcp2/5K3 w
14步杀9950,4k4/4a3R/4naN2/6p2/4p4/3N1c3/5r3/5p1C1/4p2C1/5K1R1 w
14步杀9951,5kc2/1R3N3/3a4b/9/n2N2R2/C1C3p2/9/7rr/3p1p3/4K4 w
14步杀9952,2b1kab2/4a4/2n1c4/3R1N1C1/4Cr3/6N2/7R1/5p3/3nr4/5K3 w
15步杀10026,4k4/3R5/5a3/9/5N1N1/3C5/9/5K3/1r5r1/9 w
15步杀10027,4Nk3/6R2/9/3c5/2bNp4/r2C5/9/9/1r2p4/3K5 w
15步杀10028,2n5R/9/2N1k4/6p2/2b3bn1/5p3/9/3p1C3/2cpp1Nr1/1r2cK3 w
15步杀10054,3akab1N/4c1R1C/4b4/N8/9/9/9/4C4/r3r4/5K3 w
15步杀10063,4R4/3k3C1/9/5N3/2bc2b2/9/r8/9/3p1p3/4K1R2 w
15步杀10064,3ak4/1r2a4/9/4p1RCR/9/4cn2N/6n2/9/2p1p4/3K5 w
15步杀10066,2b1k1b1R/C3a4/4c3N/5r3/2c5n/9/9/9/1nr1p2R1/3K5 w
15步杀10077,4k4/9/9/3R1N3/5C3/5p3/5pNc1/1r1p5/4p4/3K1R3 w
15步杀10078,5a3/C1R1a2rr/2N1kc3/4pc3/2b6/3R5/6N2/3p5/2p1p4/3K5 w
15步杀10079,r2a1c3/3ka2N1/3nC1cn1/1Rp6/1RN6/9/9/8r/4p1p2/5K3 w
15步杀7615,1cb6/8C/3k1r3/9/2bN5/9/4NR3/r8/4p1p2/5K1R1 w
15步杀8266,3k3r1/4a4/3a5/6N2/9/9/9/3RC4/4p2c1/5K3 w
15步杀9988,1Cba5/4a4/1N1k5/9/9/4R4/7r1/5p3/4p4/5K3 w
15步杀9990,1Rb6/4k4/7N1/1C7/9/9/9/5K3/7rr/9 w
15步杀9991,1c7/c3k4/C1R2N3/9/9/9/9/4p4/7rr/4K4 w
15步杀9992,1r4R2/4kn3/9/4N2C1/9/9/9/r2p5/4p4/3K5 w
16步杀10098,1C1a5/4ak3/9/9/8N/9/9/3p2R2/4p4/3K2c1r w
16步杀10099,2bak3C/9/3ac2R1/4N4/9/9/9/4p4/3KA4/cr7 w
16步杀10100,9/8R/3a1k3/9/n4N3/9/9/1C1p5/r3p4/3K5 w
16步杀10101,C1b6/4k4/1R1c5/3N5/4pn3/9/9/9/3p1p2r/4K4 w
16步杀10102,CR1ak3c/9/2Na5/9/1n7/1n7/5r3/5p3/4p1r2/5K3 w
16步杀10118,C2a5/4k4/7NR/9/C2c5/9/9/5p3/r3p4/c2AnK3 w
16步杀10119,3rk1bR1/C3a2N1/c8/9/9/9/9/5pn2/4p1r2/5K2C w
16步杀10125,9/4k4/5a3/3R5/5N1N1/3C5/9/5K3/1r5r1/9 w
16步杀10126,1r3R3/4a4/4k4/9/2b2nb2/3N1N3/9/3C1Kc2/4p1r2/3c2n2 w
16步杀10127,1cba1R3/3k5/b5N2/9/1n4p2/3N5/6cr1/3p2Cn1/1r1p5/4K4 w
16步杀10152,4k4/5R2C/b1n1bN1r1/9/5n3/4cC3/9/4pp3/6p2/3rcK1R1 w
16步杀10154,3k5/7N1/9/4R4/2C6/3p5/1cNr5/5p1r1/4p4/3R1K3 w
16步杀8722,2bk1a3/4a4/9/2p1N1p2/1R7/4C4/9/9/4p2r1/5K3 w
16步杀9455,2C1k1b2/6R2/2N1b4/9/9/9/3r1p3/9/4p4/5K3 w
16步杀9835,8r/3nak2r/3a5/2pN2C2/2b1R1b1n/3p1p2c/9/5p3/4p4/5K1c1 w
16步杀9989,1r1ak4/4a4/c3b4/7NC/9/8R/9/2p1B1p2/3KA1n2/5A3 w
17步杀10025,4c1NN1/5k3/6n2/1cp6/6p2/5C3/8R/9/1rp1p4/3K5 w
17步杀10065,5k3/3R5/5a3/5R3/2Cc2N2/9/9/2rA1p1r1/3p2p2/5K3 w
17步杀10172,3a1k3/4a4/9/1C3N3/9/9/c8/3A5/4A1R2/1n1K2c1r w
17步杀10173,C3kanr1/9/1R2ca2c/9/1N7/9/9/9/4p2p1/5K3 w
17步杀10190,1cN2a3/5k3/6R2/1C4pr1/n5b2/2N6/9/9/2p1p4/3Knr1c1 w
17步杀10191,1R7/4a3C/b1N1k4/p8/nnb6/3N1c3/9/1r1p5/2p6/3Kcr3 w
17步杀10206,1Nr2cb2/7r1/2C2k3/9/2C6/7RN/9/3p1p3/3p1p3/4K4 w
17步杀10207,3R1N3/5k3/n1c3N2/9/9/9/9/3p5/1C2p2p1/1rCK1nrc1 w
17步杀10208,3aka1rc/C1R6/N2cb2n1/2r5N/2p3b2/9/9/6n2/3p1p3/3CK4 w
17步杀10209,9/4a4/2NabkC2/2p3N2/4c4/1RBpcpBC1/3p1p3/4r4/3K1n3/2r3n2 w
17步杀10215,4R4/3k2N2/7C1/9/2bc2b2/9/r8/9/3p1p3/4K1R2 w
17步杀10216,3a1a3/6R2/4k4/C8/R8/6N2/5p1r1/3A5/4AK3/2B3cnc w
17步杀10224,5a3/C1R1a2rr/4kc3/4pc3/2b6/3R5/4N1N2/3p5/2p1p4/3K5 w
17步杀10226,8R/3Nak3/5a3/6p2/3np4/3N1c3/5r3/5p1C1/4p2C1/5K1R1 w
17步杀9309,3N1ab2/8C/3kbR3/8p/8N/3p5/9/4C4/1r2r4/3K5 w
17步杀9670,C2k1abr1/9/1R1c1a2c/9/3N5/7n1/9/4B4/4p4/2B2K3 w
17步杀9765,2b5r/3ka4/3c2R2/7N1/C7p/2R3B2/9/4B4/4AK1n1/3A4c w
17步杀9893,4k1Nn1/9/9/4pn2c/3N5/5C1R1/9/2r1c1r2/2p1pp3/3K5 w
18步杀10232,1Cba5/3kaN3/9/9/9/4R4/7r1/5p3/4p4/5K3 w
18步杀10233,3a1k3/2N4R1/4ba3/5r3/2b6/9/C8/3n1p3/4p4/c4K3 w
18步杀10234,C1b6/1RNc5/4k4/9/4pn3/9/9/9/3p1p2r/4K4 w
18步杀10235,1cR1N4/c2k5/C8/9/9/9/9/4p4/7rr/4K4 w
18步杀10248,C2a5/4k4/3N4R/9/C2c5/9/9/5p3/r3p4/c2AnK3 w
18步杀10249,3rk4/C3an1N1/c3b4/9/9/9/9/5pn1R/4p1r2/5K2C w
18步杀10257,9/9/3k1a3/4R4/7N1/3C3N1/9/5K3/1r5r1/9 w
18步杀10266,9/9/4k4/2p1p1p2/2CcNRC2/3c1R3/9/9/2rp1pr2/4K4 w
18步杀10267,5kN2/1R6C/b1n1b1nr1/9/9/4cC3/9/4pp3/6p2/3rcK1R1 w
18步杀10269,9/4k4/9/5R3/3N1C3/5p3/5pNc1/1r1p5/4p4/3K1R3 w
18步杀10270,4Na1n1/4aR3/1n2k1N2/3cpcp2/6b2/7C1/1r7/9/2p1p4/3K1Rr2 w
18步杀10272,5k3/3Na4/5a3/6p2/3np4/3N1c3/5r3/5p1C1/4p2CR/5K1R1 w
18步杀9833,1C3a3/4k4/9/7NR/9/9/r8/3p5/4p4/3K5 w
19步杀10174,4Nn2r/4a3r/3ak4/2p3C2/2b2Rb1n/3p1p2c/9/5p3/4p4/5K1c1 w
19步杀10217,9/4ak3/9/3RR4/2Cc2N2/9/9/2rA1p1r1/3p2p2/5K3 w
19步杀10280,3a4c/4k4/CRNa5/9/1n7/1n7/5r3/5p3/4p1r2/5K3 w
19步杀10281,c2a5/4ak3/6RN1/4p1p2/6b2/6p2/6p2/6n2/2rr1pn2/1c2K1C2 w
19步杀10290,2N6/5k3/5a3/n5Rcr/6C2/9/1Nc3r2/5p3/4p4/5K3 w
19步杀10301,5k3/2N1a2R1/3Rba3/5r3/2b6/9/C8/3n1p3/4p4/c4K3 w
19步杀10305,9/9/4k4/5R3/5C3/5p3/2N2pNc1/1r1p5/4p4/3K1R3 w
19步杀10306,4k1N2/9/9/5R3/2C6/3p5/1cNr5/5p1r1/4p4/3R1K3 w
20步杀10236,4Nn2r/4a3r/3a1k3/2p3C2/2b1R1b1n/3p1p2c/9/5p3/4p4/5K1c1 w
20步杀10320,9/4a1N2/3k3C1/9/2bc2b2/4R4/r8/9/3p1p3/4K1R2 w
20步杀10329,3k1a3/C3a2rr/5c3/2R1pc3/2b6/1R7/4N1N2/3p5/2p1p4/3K5 w
